,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율
0,058820,(주)CMG제약,0.2163331921279649,18.310179539870166,9.448394660487404,1069.54,7.85
1,000990,(주)DB하이텍,0.02865332607895537,4.113681114476702,2.6707850343658626,174.09,48.29
2,050120,(주)ES큐브,-0.02191563994802156,-0.0,14.043199082246087,90.15,12.4
3,023150,(주)MH에탄올,-0.3018969554376066,-0.0,1.253320524430326,117.69,69.27
4,002360,(주)SH에너지화학,0.36123714892883807,-0.0,1.1435223696815293,917.82,29.79
5,009160,(주)SIMPAC,0.1766953469942262,-0.5710314893939454,0.779131362285944,125.85,51.22
6,100840,(주)SNT에너지,0.7798734091473557,0.07389302856927787,0.5777123791025134,257.09,40.37
7,036530,(주)SNT홀딩스,0.07313258629069856,0.02414887063917077,11.949449804004061,8808.28,0.07
8,002710,(주)TCC스틸,-0.5072977923455124,-0.5779971092714175,0.31154526153526063,92.8,165.86
9,079940,(주)가비아,-0.0919517293804637,0.7534612655234508,3.283769975283564,80.56,68.07
10,035250,(주)강원랜드,0.20227687157402327,-1.5799257314650026,11.336083061361945,452.28,12.06
11,002100,(주)경농,0.15763640308059443,-4.703216375199555,1.7808532454425607,158.64,51.62
12,009450,(주)경동나비엔,0.022822286820865845,-2.573253652568193,0.8688454910806009,125.21,90.27
13,012320,(주)경동인베스트,0.3508854741576587,-1.5158193763152992,12.469115646647198,3110.59,0.47
14,000050,(주)경방,-1.0657341343310802,0.5442069494718638,1.6008075063126739,30.22,59.64
15,214390,(주)경보제약,0.14118594819394908,-2.16985802115874,1.3492264710661925,147.38,62.27
16,012610,(주)경인양행,-0.10940949077837389,0.502168804617631,1.271819885963575,107.54,101.53
17,198440,(주)고려시멘트,0.12427024519761361,0.49615783571929795,1.7816587848822198,367.97,24.88
18,098460,(주)고영테크놀러지,0.09554355122667917,-96.87423429614788,10.052731213881756,715.4,19.97
19,035290,(주)골드앤에스,0.06132568070915917,-0.0,0.8103946073219997,429.98,42.42
20,215000,(주)골프존,-0.025931395523641928,-1.468979781040482,2.011927496227335,147.28,52.27
21,121440,(주)골프존뉴딘홀딩스,-0.1689961922161433,-0.0,5.313520834465591,372.85,20.05
22,017040,(주)광명전기,0.40781179540809964,-2.4416242004094775,0.9261648221442498,205.86,51.25
23,029480,(주)광무,0.1348195783483478,-0.0,1.5379974251101547,191.88,53.17
24,037710,(주)광주신세계,0.20744469026548673,3.318023733773643,1.8385386914840827,201.12,12.34
25,053270,(주)구영테크,-0.35049011980706396,-25.063564573075404,1.5150615979698256,83.14,157.34
26,005320,(주)국동,0.12511443570162123,-0.0,0.710001751965036,141.94,103.36
27,066620,(주)국보디자인,-0.05774099616858237,0.587285140091776,0.642703415798548,98.2,63.17
28,006050,(주)국영지앤엠,0.13415592230642812,2.302943034976633,1.5446115001981175,215.19,37.28
29,083450,(주)글로벌스탠다드테크놀로지,0.27134255908864896,0.170267689130381,1.3177188454921922,370.18,22.81
30,214330,(주)금호에이치티,0.2780555783260923,-0.0,0.3182986566156539,173.94,46.97
31,036190,(주)금화피에스시,0.6232829977628636,1.2925750370585958,0.8688462663319166,568.01,11.04
32,013700,(주)까뮤이앤씨,-0.31166615191150876,-0.28562808059864203,0.6128109668055777,105.83,100.83
33,121600,(주)나노신소재,0.168097854688925,-121.90823927887105,6.304507336584365,718.63,15.51
34,089600,(주)나스미디어,0.24990227146077135,1.2634883096010046,4.395610113538278,155.21,115.73
35,130580,(주)나이스디앤비,0.18186318631863185,0.6318782237850162,2.5793936759880554,302.07,26.38
36,034310,(주)나이스홀딩스,-0.22350865330733713,-1.1427396734003967,16.618172021249205,12.19,51.5
37,008350,(주)남선알미늄,0.04214510720455238,-2.7603733871140603,1.6128286389620217,190.3,59.1
38,004270,(주)남성,-0.16598962173592466,-0.0,2.147383026648742,86.16,104.57
39,094860,(주)네오리진,0.03030060405490761,-0.0,11.760924649617182,575.17,19.24
40,212560,(주)네오오토,-0.16985321988357932,-0.8461561893112307,0.5723617602726195,106.22,74.64
41,095660,(주)네오위즈,0.18181148162586866,0.6317436291641331,2.286289900522656,340.12,14.14
42,092730,(주)네오팜,0.3553713905947552,0.396237731464268,3.380013885386756,753.01,13.14
43,153460,(주)네이블커뮤니케이션즈,0.4427199914020834,-0.0,3.420271030934184,844.26,10.64
44,033640,(주)네패스,-0.05530020620688467,1.7524367842012472,3.234162270894401,192.41,80.64
45,005720,(주)넥센,0.12387069116082629,-0.26591229431322916,0.7129370635179972,165.24,17.01
46,089140,(주)넥스턴바이오사이언스,0.3105765230599549,-0.9076581747696569,21.343727917711714,3228.57,2.67
47,137940,(주)넥스트아이,0.190247693054881,-0.0,5.597166338774677,160.47,37.25
48,160550,(주)넥스트엔터테인먼트월드,-0.04817556690311949,-0.0,5.7340214915869225,81.97,64.74
49,225570,(주)넥슨게임즈,0.12403897717611667,-0.0,4.694039307700603,534.38,42.22
50,090350,(주)노루페인트,-0.1693181818181818,0.4626356067873124,0.3963863846047939,116.03,94.44
51,000320,(주)노루홀딩스,-0.005849254351810107,-1.164768201859527,8.95667414545143,324.26,20.43
52,006280,(주)녹십자,0.045093520056966534,-0.0,3.4314481776888264,188.14,69.3
53,005250,(주)녹십자홀딩스,-0.1991097850426803,-9.594668989277825,20.802725246637543,32.24,71.31
54,004370,(주)농심,0.11040227785413151,-0.793156177974822,0.818933787714075,157.85,25.8
55,072710,(주)농심홀딩스,0.007085066248494353,-0.422792116533595,18.247156128230955,1323.32,0.79
