,종목코드,일일변동평균,샤프지수
0,000020,0.4480716446586049,21.871310605149727
1,000040,0.4633960687986752,21.853372278447324
2,000050,0.2722592032225261,18.307817076035004
3,000060,0.2101356761017587,28.33529887075286
4,000070,0.3872459373610103,37.74151624098063
5,000075,0.3452310943347294,25.218637519664288
6,000080,0.1532530256294458,16.037969903902162
7,000087,0.1856553603647059,29.21339032779308
8,000100,0.1786976458290964,18.045058594389605
9,000105,0.2032096756957781,14.210696114605552
10,000120,0.1440434788958315,19.32673084141619
11,000140,0.2381125629824867,28.644722468111723
12,000145,0.1945425738414517,17.514123461202306
13,000150,0.2329605922408233,10.898281014977938
14,000155,0.1413129894823199,5.667006347585632
15,000157,0.4644835974289034,11.491188421981498
16,000180,0.3026812758841156,29.90744371237394
17,000210,0.1652866229442884,12.339717809441108
18,000215,0.2151964540598505,23.66421756402196
19,000220,0.3101806619832787,16.146492977900852
20,000225,0.5820120815219177,26.55177101487187
21,000227,0.6012455830519754,25.13354154064785
22,000230,0.2839104255519972,35.91182620915858
23,000240,0.4065559271321348,25.743454753566706
24,000270,0.5247123227632431,68.55367111274734
25,000300,0.1612858666527482,8.466073844001963
26,000320,0.2155224348681848,43.58670186871299
27,000325,0.0782412564967207,5.467869416689717
28,000370,0.4886534522672083,57.9917106375153
29,000390,0.5227535791543457,34.42922140583494
30,000400,0.1706727362255466,17.740939129544966
31,000430,0.2249080790705235,27.370525038879123
32,000480,0.0675696673939732,12.399097939762717
33,000490,0.4117433508049529,51.073859278595
34,000500,0.3525846851938507,37.505306239407
35,000520,0.1020892810846623,7.201133763812829
36,000540,0.2932145831078287,29.20564489427161
37,000545,0.4440028856450147,10.877961456034267
38,000547,-0.0419716928319897,-6.088855126830774
39,000590,0.2478098108674515,14.060042269491674
40,000640,0.1546587324950768,10.545398751903804
41,000650,0.1441113156768803,10.022443012663343
42,000660,0.2170015423348241,28.45674726266286
43,000670,0.0981833356762052,13.684186216081176
44,000680,0.3534274504792007,21.28959831817748
45,000700,0.0821802032897041,9.818649996078856
46,000720,0.2212624295398914,28.917224636404896
47,000725,0.4056683810782138,12.745165551764693
48,000760,0.3109305314658874,37.12970589131973
49,000810,0.1102024935321141,11.393086859396288
50,000815,0.1244715398493986,19.348240128834952
51,000850,0.0774357751407538,17.755082449078014
52,000860,0.3267838472544487,56.970341676318505
53,000880,0.3490967283731603,33.20221403985565
54,000885,0.6168610475864548,19.450271124146155
55,00088K,0.1951886343279742,28.943723135037327
56,000890,0.2053878689183106,18.206515690385128
57,000910,0.7224411849232095,47.069639310829125
58,000950,0.626349109246958,44.84743251077339
59,000970,0.1331197753914372,16.132457905439075
60,000990,0.4451421570303656,49.648820281067145
61,000995,0.6412982914523205,25.21189220472486
62,001020,0.4643970588518848,23.6924519235432
63,001040,0.1807635750382391,21.02853140622091
64,001045,0.2496258090832193,35.07020185106626
65,00104K,0.2481877511950058,38.20172758213651
66,001060,0.0303495712002199,1.4065441955665654
67,001065,0.3326880676063978,5.898605333192066
68,001067,0.4661656603809901,11.6737198206371
69,001070,0.3236261755266635,83.27478607953383
70,001080,0.2821822008465376,29.439248236526904
71,001120,0.5655462770352356,73.53676030868311
72,001130,0.1340778855784323,7.654793020572559
73,001140,0.2428898742879992,9.472896981383364
74,001200,0.3938087850544363,35.669444261035586
75,001210,0.1027747439402932,3.554351056105351
76,001230,0.6063845693097628,72.38046092935046
77,001250,0.3175420966171194,36.35077813795824
78,001260,0.2718887280814168,13.801588332324512
79,001270,0.147439126396106,32.1349322061014
80,001275,0.1320565877366028,32.807662502424044
81,001290,0.0515864549887739,4.102934248243298
82,001340,0.3614162858096496,23.56581129207593
83,001360,0.2382198171533755,7.226109321832834
84,001380,0.5908191977691334,56.56217594861568
85,001390,0.431862145470149,45.89486994018932
86,001420,0.1428733894225899,18.94022191729336
87,001430,0.4242903493806802,42.29290485943817
88,001440,0.4420598880406153,27.91500641858311
89,001450,0.057027100901466,6.735681472929651
90,001460,0.260026831064065,45.57573162036544
91,001465,0.2075948518026188,31.119870753696667
92,001470,0.8673722049771021,111.96276931809476
93,001500,0.2792807467628927,40.28468859729025
94,001510,0.2901574050755217,19.501368897077064
95,001515,0.5569742864070671,22.942754367257475
96,001520,0.1747580704659238,6.702298711023995
97,001525,0.2696307998978079,8.179402433273724
98,001527,0.3288763042016621,8.196756456565028
99,001530,0.5509791695944891,63.16805284691173
100,001550,0.2901029876561528,16.012404980268748
101,001560,0.1942842501899104,24.658755140066678
102,001570,0.4136293374939263,21.99050812641647
103,001620,0.2588243129956212,28.960033661983037
104,001630,0.0588884148344565,-1.7288984034738828
105,001680,0.1816651499242546,20.80413755331194
106,001685,0.219309453745692,29.84738470801621
107,001720,0.094722959816994,19.445861220627293
108,001725,0.0885436961091376,22.110341990260192
109,001740,0.1120032027709054,9.898424135594034
110,001745,0.3936445658734074,8.000539082905204
111,001750,0.3258087268801036,54.60118985056031
112,001755,0.6460412440247433,25.317730529235945
113,001770,0.2104770532194592,13.373569264137236
114,001780,0.5810561121217185,39.0707945919775
115,001790,0.2913943504245901,44.81588586602779
116,001795,0.378198127421216,61.09700768363585
117,001800,0.0829414379739275,12.375029212594432
118,001820,0.242857823472148,29.084129713107675
119,001880,0.3934562467225995,46.984754180216285
120,001940,0.2467344673407324,52.244070413249744
121,002020,0.3279279725839213,23.83268664147389
122,002025,0.4070126304915236,23.68321715848136
123,002030,0.2094788197924126,36.475791709880674
124,002070,0.0846023306984614,-1.04534310451219
125,002100,0.1959503954052537,11.80813844379296
