,종목코드,INFO,VALUE
0,000990,1,0.09692412880353209
1,000990,2,0.9874831645502534
2,000990,3,-0.11563651245756001
3,000990,4,-0.33370507461760857
4,000990,5,-0.3564927641423512
5,000990,6,0.8570633573167096
6,000990,7,1.0837394244114984
7,000990,8,-0.14051093413900614
8,000990,9,0.9039972805807578
9,000990,10,0.02508015781239478
10,023150,1,-0.48316729093617267
11,023150,2,0.13545592150279778
12,023150,3,-0.29211358184329145
13,023150,4,-0.5154960331727289
14,023150,5,-0.048656742257921874
15,023150,6,-1.162790940013797
16,023150,7,-1.229959089479992
17,023150,8,-0.4017976348846253
18,023150,9,-0.37093805759038906
19,023150,10,-0.11218836929156682
20,002360,1,0.680584263940281
21,002360,2,0.13545592150279778
22,002360,3,-0.3057836641897693
23,002360,4,2.06351814535047
24,002360,5,-0.6279401618955421
25,002360,6,-0.689598905566828
26,002360,7,-0.818253878543349
27,002360,8,-0.4017976348846253
28,002360,9,-0.39395133084257583
29,002360,10,-0.10992257458362786
30,009160,1,0.356726981488659
31,009160,2,0.017183655845303507
32,009160,3,-0.3511510484487317
33,009160,4,-0.48919436257326465
34,009160,5,-0.3135013654711702
35,009160,6,-0.6476410614006725
36,009160,7,0.006920106730222414
37,009160,8,-0.17093472806144125
38,009160,9,-0.6655079552183798
39,009160,10,-0.10386193024506607
40,100840,1,1.4152600942874796
41,100840,2,0.15076067451117908
42,100840,3,-0.37622810090522124
43,100840,4,-0.06617582709854859
44,100840,5,-0.4727015960453389
45,100840,6,-0.8879606628298391
46,100840,7,-0.29058002575860514
47,100840,8,-0.309631435649013
48,100840,9,-0.6378920273157557
49,100840,10,-0.10832165498140914
50,002710,1,-0.8436306448046542
51,002710,2,0.015740933929053562
52,002710,3,-0.40936642115653565
53,002710,4,-0.5957225749889866
54,002710,5,1.3685921306599542
55,002710,6,1.6759888600335424
56,002710,7,0.8333375158670269
57,002710,8,-0.1776458590737431
58,002710,9,-0.4675938052495736
59,002710,10,-0.1099640588221672
60,035250,1,0.4016206746493985
61,035250,2,-0.19177891458174448
62,035250,3,0.9632098293304081
63,035250,4,0.5629691587236842
64,035250,5,-0.8880894787692757
65,035250,6,-0.9176815436585043
66,035250,7,-0.5381945347175734
67,035250,8,-0.23044008970385108
68,035250,9,-0.21444779947551912
69,035250,10,0.18927285755966305
70,002100,1,0.32327993741756167
71,002100,2,-0.8386760955645206
72,002100,3,-0.22643473912323367
73,002100,4,-0.3835041935835059
74,002100,5,-0.30763223254677685
75,002100,6,-0.5274051024397879
76,002100,7,-0.7428891381166145
77,002100,8,0.19705895577977747
78,002100,9,-0.1500106343693961
79,002100,10,-0.09918277868720989
80,009450,1,0.08669108399635767
81,009450,2,-0.39751738251529367
82,009450,3,-0.3399814661267763
83,009450,4,-0.4912572386987129
84,009450,5,0.25947273627272716
85,009450,6,-0.3452569477932757
86,009450,7,0.12987261882252127
87,009450,8,-0.1438664996451571
88,009450,9,0.10773802605509569
89,009450,10,-0.07677942984896453
90,000050,1,-1.823645331134378
91,000050,2,0.24817227794910007
92,000050,3,-0.24885078141164013
93,000050,4,-0.7974331811304659
94,000050,5,-0.18995611741269083
95,000050,6,-0.1034459115915327
96,000050,7,-0.4291395421668868
97,000050,8,-0.31119736621855015
98,000050,9,-0.6609053005679424
99,000050,10,-0.09541346215449238
