,종목코드,시장구분
245,021040,KOSDAQ
246,021045,KOSDAQ
247,067080,KOSDAQ
248,298540,KOSDAQ
249,299170,KOSDAQ
250,213420,KOSDAQ
251,317330,KOSDAQ
252,077360,KOSDAQ
253,090410,KOSDAQ
254,263600,KOSDAQ
255,194480,KOSDAQ
256,263800,KOSDAQ
257,206560,KOSDAQ
258,261200,KOSDAQ
259,067990,KOSDAQ
260,006620,KOSDAQ
261,100130,KOSDAQ
262,005160,KOSDAQ
263,075970,KOSDAQ
264,086450,KOSDAQ
265,099410,KOSDAQ
266,033500,KOSDAQ
267,025950,KOSDAQ
268,088130,KOSDAQ
269,041930,KOSDAQ
270,060380,KOSDAQ
271,079960,KOSDAQ
272,228340,KOSDAQ
273,088910,KOSDAQ
274,094170,KOSDAQ
275,013120,KOSDAQ
276,109860,KOSDAQ
277,032960,KOSDAQ
278,023790,KOSDAQ
279,005290,KOSDAQ
280,025900,KOSDAQ
281,073190,KOSDAQ
282,030350,KOSDAQ
283,203650,KOSDAQ
284,223250,KOSDAQ
285,060570,KOSDAQ
286,217620,KOSDAQ
287,187870,KOSDAQ
288,066670,KOSDAQ
289,110990,KOSDAQ
290,263690,KOSDAQ
291,214680,KOSDAQ
292,263720,KOSDAQ
293,109740,KOSDAQ
294,131030,KOSDAQ
295,196490,KOSDAQ
296,066900,KOSDAQ
297,127120,KOSDAQ
298,092070,KOSDAQ
299,134580,KOSDAQ
300,039840,KOSDAQ
301,219550,KOSDAQ
302,104460,KOSDAQ
303,079810,KOSDAQ
304,113810,KOSDAQ
305,043360,KOSDAQ
306,197140,KOSDAQ
307,106520,KOSDAQ
308,068930,KOSDAQ
309,033130,KOSDAQ
310,105740,KOSDAQ
311,263020,KOSDAQ
312,290550,KOSDAQ
313,187220,KOSDAQ
314,131180,KOSDAQ
315,315640,KOSDAQ
316,317120,KOSDAQ
317,042510,KOSDAQ
318,232680,KOSDAQ
319,300120,KOSDAQ
320,171120,KOSDAQ
321,069540,KOSDAQ
322,347700,KOSDAQ
323,214260,KOSDAQ
324,171010,KOSDAQ
325,084650,KOSDAQ
326,217500,KOSDAQ
327,141080,KOSDAQ
328,060300,KOSDAQ
329,038390,KOSDAQ
330,294140,KOSDAQ
331,228670,KOSDAQ
332,228850,KOSDAQ
333,281740,KOSDAQ
334,277810,KOSDAQ
335,215100,KOSDAQ
336,090360,KOSDAQ
337,108490,KOSDAQ
338,900260,KOSDAQ
339,067730,KOSDAQ
340,071280,KOSDAQ
341,038060,KOSDAQ
342,085370,KOSDAQ
343,08537M,KOSDAQ
344,060240,KOSDAQ
345,058470,KOSDAQ
346,039980,KOSDAQ
347,019570,KOSDAQ
348,016100,KOSDAQ
349,012700,KOSDAQ
350,302550,KOSDAQ
351,377450,KOSDAQ
352,029480,KOSDAQ
353,277070,KOSDAQ
354,042500,KOSDAQ
355,219420,KOSDAQ
356,195500,KOSDAQ
357,222810,KOSDAQ
358,305090,KOSDAQ
359,098120,KOSDAQ
360,147760,KOSDAQ
361,038290,KOSDAQ
362,220630,KOSDAQ
363,267980,KOSDAQ
364,005990,KOSDAQ
365,127160,KOSDAQ
366,093520,KOSDAQ
367,377030,KOSDAQ
368,100590,KOSDAQ
369,067280,KOSDAQ
370,072870,KOSDAQ
371,215200,KOSDAQ
372,133750,KOSDAQ
373,235980,KOSDAQ
374,041920,KOSDAQ
375,014100,KOSDAQ
376,054180,KOSDAQ
377,086900,KOSDAQ
378,078160,KOSDAQ
379,065650,KOSDAQ
