,종목코드,시장구분
252,003545,KOSPI
253,009190,KOSPI
254,014160,KOSPI
255,047040,KOSPI
256,009320,KOSPI
257,042660,KOSPI
258,003090,KOSPI
259,069620,KOSPI
260,000430,KOSPI
261,006340,KOSPI
262,006345,KOSPI
263,003220,KOSPI
264,024890,KOSPI
265,002880,KOSPI
266,000300,KOSPI
267,012800,KOSPI
268,015230,KOSPI
269,001070,KOSPI
270,006650,KOSPI
271,001440,KOSPI
272,084010,KOSPI
273,001790,KOSPI
274,001795,KOSPI
275,001130,KOSPI
276,003490,KOSPI
277,003495,KOSPI
278,005880,KOSPI
279,003830,KOSPI
280,016090,KOSPI
281,069460,KOSPI
282,192080,KOSPI
283,012510,KOSPI
284,004830,KOSPI
285,004835,KOSPI
286,024900,KOSPI
287,145720,KOSPI
288,002150,KOSPI
289,001230,KOSPI
290,023450,KOSPI
291,004140,KOSPI
292,007590,KOSPI
293,005960,KOSPI
294,005965,KOSPI
295,026960,KOSPI
296,002210,KOSPI
297,102260,KOSPI
298,000640,KOSPI
299,170900,KOSPI
300,028100,KOSPI
301,282690,KOSPI
302,001520,KOSPI
303,001527,KOSPI
304,001529,KOSPI
305,084670,KOSPI
306,082640,KOSPI
307,001525,KOSPI
308,008970,KOSPI
309,092780,KOSPI
310,049770,KOSPI
311,018500,KOSPI
312,006040,KOSPI
313,030720,KOSPI
314,014820,KOSPI
315,014825,KOSPI
316,163560,KOSPI
317,004890,KOSPI
318,002690,KOSPI
319,000020,KOSPI
320,000150,KOSPI
321,000157,KOSPI
322,241560,KOSPI
323,000155,KOSPI
324,034020,KOSPI
325,336260,KOSPI
326,33626K,KOSPI
327,33626L,KOSPI
328,016740,KOSPI
329,192650,KOSPI
330,024090,KOSPI
331,003160,KOSPI
332,092200,KOSPI
333,377190,KOSPI
334,013570,KOSPI
335,210540,KOSPI
336,007340,KOSPI
337,026890,KOSPI
338,115390,KOSPI
339,032350,KOSPI
340,089860,KOSPI
341,330590,KOSPI
342,000400,KOSPI
343,023530,KOSPI
344,004000,KOSPI
345,286940,KOSPI
346,280360,KOSPI
347,004990,KOSPI
348,00499K,KOSPI
349,005300,KOSPI
350,005305,KOSPI
351,011170,KOSPI
352,002270,KOSPI
353,071840,KOSPI
354,027740,KOSPI
355,204320,KOSPI
356,001080,KOSPI
357,088980,KOSPI
358,094800,KOSPI
359,138040,KOSPI
360,008560,KOSPI
361,000060,KOSPI
362,090370,KOSPI
363,017180,KOSPI
364,009900,KOSPI
365,012690,KOSPI
366,005360,KOSPI
367,204210,KOSPI
368,009680,KOSPI
