,종목코드,수익률
0,060310,28.07486631016043
1,095570,58.07017543859649
2,006840,49.57983193277311
3,054620,53.96825396825397
4,265520,20.3781512605042
5,211270,173.5191637630662
6,027410,91.00817438692098
7,282330,23.92156862745098
8,138930,55.91274397244547
9,001460,84.75935828877004
10,001465,59.305993690851736
11,001040,51.12540192926045
12,079160,58.47457627118644
13,035760,45.05606523955148
14,00104K,79.35174069627851
15,000120,42.96875
16,011150,19.674185463659146
17,011155,1.1065006915629323
18,001045,76.21283255086072
19,097950,92.05607476635514
20,097955,104.21753607103219
21,051500,55.73248407643312
22,058820,21.974965229485395
23,023460,102.97397769516729
24,056000,-20.994475138121548
25,065770,50.136986301369866
26,083660,-54.196642685851316
27,000590,50.05834305717619
28,012030,56.65467625899281
31,016610,110.43478260869566
32,005830,46.21329211746523
33,000990,169.377990430622
34,000995,177.62803234501348
35,139130,91.81818181818183
36,001530,226.04562737642584
37,000210,28.487518355359764
38,000215,44.481054365733115
41,068790,166.2480376766091
42,004840,93.14285714285714
43,241520,196.7088607594937
44,155660,74.50076804915514
45,069730,80.06535947712419
46,017940,54.87364620938629
47,245620,-70.88235294117648
48,037370,79.78395061728395
49,079190,0.0
51,007700,41.352549889135254
52,130500,73.08248914616497
53,114090,31.10236220472441
54,900290,-25.11811023622047
55,078930,10.451977401129943
56,083450,96.3963963963964
57,006360,124.54308093994777
58,001250,98.4126984126984
59,007070,31.77892918825561
60,078935,19.62962962962963
61,028150,46.43902439024391
62,045890,-86.74033149171271
63,078150,48.24355971896955
64,012630,45.91439688715953
65,039570,45.0
66,089470,112.5
67,294870,86.94267515923568
68,011200,820.6349206349206
69,036640,219.34604904632153
70,082740,258.62068965517244
71,335870,7.94044665012407
75,003560,63.52459016393443
76,095340,134.88120950323975
77,099520,-15.737704918032788
78,175330,48.52607709750567
79,950170,25.0
80,234080,36.200716845878134
81,067290,45.784695201037614
82,001060,2.2413793103448274
83,001067,78.67036011080333
84,001065,36.75564681724846
85,096760,-2.5668449197860963
86,035900,105.18731988472622
87,024840,131.5470171890799
88,105560,77.84810126582279
89,024120,115.62156215621562
90,002380,85.546875
91,021320,90.61522419186653
92,036670,25.526315789473685
93,009070,240.21164021164023
94,009440,45.14637904468413
95,112190,-10.961538461538462
96,119650,165.84022038567494
97,044180,126.26262626262626
98,092220,258.7962962962963
99,151860,76.0
100,016380,124.01171303074669
101,016385,82.43243243243244
102,046440,115.46840958605664
103,035600,8.264462809917356
104,001390,166.00985221674878
105,060720,34.44108761329305
106,001940,82.48945147679325
107,122450,130.15075376884423
108,052900,164.9402390438247
109,058400,140.96385542168676
110,114450,66.53386454183267
111,025000,46.71280276816609
112,092230,51.44654088050314
113,000040,119.16666666666667
114,044450,64.66165413533834
115,030200,45.99483204134367
116,033780,14.647887323943662
117,030210,148.8372093023256
118,036030,152.22222222222223
119,058850,88.10289389067523
120,058860,97.05882352941177
121,060370,113.19444444444444
122,093050,54.24528301886793
123,003550,62.88288288288288
124,034220,114.62264150943395
125,001120,258.830146231721
126,051900,46.591970121381884
127,051905,11.021069692058347
128,003555,88.51174934725849
129,032640,16.113744075829384
130,011070,89.40092165898618
131,066570,211.85031185031184
132,066575,305.1724137931035
133,108670,138.7640449438202
134,108675,151.1326860841424
135,037560,60.78431372549019
136,051910,175.68493150684932
137,051915,174.28571428571428
138,079550,106.95876288659794
139,006260,128.7145242070117
140,010120,75.75757575757575
141,000680,89.26174496644296
142,229640,20.679012345679013
143,023150,8.198757763975156
144,065150,-31.93916349809886
145,219550,55.956112852664575
146,035420,131.2883435582822
147,160550,407.6923076923077
148,053290,305.4054054054054
149,181710,5.994152046783626
150,104200,66.66666666666666
151,060250,70.11884550084889
152,005940,38.525564803805
153,005945,34.55571227080395
154,338100,-7.2784810126582276
155,034310,-4.201680672268908
156,030190,98.046875
157,008260,153.33333333333334
158,004250,45.47038327526132
159,004255,29.608938547486037
160,010060,263.2286995515695
161,078590,66.59528907922912
162,178920,79.56777996070727
163,024940,214.97005988023955
164,005490,106.4516129032258
165,218410,-2.554278416347382
166,091340,-3.3962264150943398
167,010950,47.63636363636364
168,010955,45.800316957210775
169,019550,250.0
170,950110,29.271708683473392
171,034120,37.160120845921455
172,101060,14.40677966101695
173,046140,27.468581687612208
174,036120,147.0899470899471
175,099220,25.206611570247933
176,036540,67.77777777777779
177,255220,46.15384615384615
178,040610,165.4377880184332
179,049470,108.16326530612245
180,184230,134.86088379705402
181,224880,-1.0033444816053512
182,005090,51.434034416826
183,016250,-41.72043010752688
184,004060,42.88461538461538
185,001380,242.24598930481284
186,002360,33.52272727272727
187,009160,48.62385321100918
188,123700,91.35514018691589
189,025530,55.483870967741936
190,034730,75.15527950310559
191,307070,2.25
192,337450,5.012531328320802
193,340350,3.2663316582914574
194,011790,241.75531914893617
195,018670,66.14664586583463
196,001740,23.736263736263734
197,001745,55.49215406562055
198,006120,200.990099009901
199,006125,220.14652014652017
200,210980,53.98406374501992
201,068400,51.98863636363637
202,036490,142.77907884465262
205,03473K,95.48872180451127
206,096770,165.45454545454547
207,096775,154.83870967741936
208,001510,76.75350701402806
209,001515,147.61904761904762
210,285130,207.36196319018404
211,28513K,301.38408304498273
212,017670,57.14285714285714
213,000660,69.00510204081633
214,048550,78.43137254901961
215,063440,171.65991902834008
216,950180,91.24087591240875
217,064960,121.78571428571428
218,100840,37.7431906614786
219,003570,35.37906137184115
220,036530,48.99598393574297
221,005610,17.504051863857377
222,011810,21.485943775100402
223,077970,85.5813953488372
224,071970,156.1764705882353
225,289080,5.035128805620609
