,종목코드,업종명
314,131180,정보기기
315,315640,소프트웨어
316,317120,일반전기전자
317,042510,소프트웨어
318,232680,반도체
319,300120,IT부품
320,171120,화학
321,069540,통신장비
322,347700,소프트웨어
323,214260,화학
324,171010,반도체
325,084650,기타서비스
326,217500,기계·장비
327,141080,기타서비스
328,060300,오락·문화
329,038390,기타서비스
330,294140,화학
331,228670,의료·정밀기기
332,228850,의료·정밀기기
333,281740,화학
334,277810,기계·장비
335,215100,디지털컨텐츠
336,090360,기계·장비
337,108490,소프트웨어
338,900260,금융
339,067730,컴퓨터서비스
340,071280,반도체
341,038060,반도체
342,085370,의료·정밀기기
343,08537M,의료·정밀기기
344,060240,디지털컨텐츠
345,058470,반도체
346,039980,유통
347,019570,금융
348,016100,화학
349,012700,유통
350,302550,의료·정밀기기
351,377450,기타서비스
352,029480,통신장비
353,277070,금융
354,042500,컴퓨터서비스
355,219420,소프트웨어
356,195500,음식료·담배
357,222810,소프트웨어
358,305090,의료·정밀기기
359,098120,반도체
360,147760,의료·정밀기기
361,038290,기타서비스
362,220630,유통
363,267980,음식료·담배
364,005990,음식료·담배
365,127160,반도체
366,093520,유통
367,377030,소프트웨어
368,100590,일반전기전자
369,067280,디지털컨텐츠
370,072870,출판·매체복제
371,215200,기타서비스
372,133750,기타서비스
373,235980,기타서비스
374,041920,의료·정밀기기
375,014100,화학
376,054180,운송장비·부품
377,086900,제약
378,078160,제약
379,065650,유통
380,021880,금융
381,140410,기타서비스
382,241770,반도체
383,059210,제약
384,058110,의료·정밀기기
385,096640,IT부품
386,257370,IT부품
387,080420,IT부품
388,080160,기타서비스
389,100030,소프트웨어
390,087260,소프트웨어
391,101330,IT부품
392,012860,운송장비·부품
393,348030,디지털컨텐츠
394,250060,소프트웨어
395,033200,IT부품
396,118990,운송장비·부품
397,006920,비금속
398,001810,종이·목재
399,279600,소프트웨어
400,095500,IT부품
401,218150,음식료·담배
402,353490,금융
403,328380,금융
404,100790,금융
405,049950,기계·장비
406,207760,디지털컨텐츠
407,059090,반도체
408,214610,의료·정밀기기
409,201490,디지털컨텐츠
410,950190,출판·매체복제
411,214180,소프트웨어
412,206640,제약
413,018700,유통
414,035620,오락·문화
415,064520,반도체
416,053030,제약
417,301300,소프트웨어
418,064550,제약
419,314930,의료·정밀기기
420,208710,IT부품
421,142760,기타서비스
422,086820,제약
423,038460,정보기기
424,086040,기타서비스
425,099430,제약
426,032980,유통
427,308080,제약
428,043150,의료·정밀기기
429,323990,기타서비스
430,267790,섬유·의류
431,046310,통신장비
432,066410,디지털컨텐츠
433,206400,소프트웨어
434,019010,유통
435,177350,반도체
436,299910,디지털컨텐츠
437,225530,비금속
438,250000,유통
439,006910,금속
440,226340,화학
441,014470,금융
442,008470,금속
443,338220,소프트웨어
444,100120,의료·정밀기기
445,337930,인터넷
446,099390,소프트웨어
447,064480,컴퓨터서비스
448,288330,제약
449,251630,기계·장비
450,018290,일반전기전자
451,044480,화학
452,033560,IT부품
453,126340,IT부품
454,121800,통신장비
455,148140,기계·장비
456,082800,반도체
457,318410,기타제조
458,200780,제약
459,141000,반도체
460,090460,IT부품
461,083650,기계·장비
462,086670,기계·장비
463,335890,의료·정밀기기
464,138580,소프트웨어
465,082920,IT부품
466,054220,일반전기전자
467,042370,금융
468,032850,소프트웨어
469,238200,음식료·담배
470,093190,정보기기
471,065450,의료·정밀기기
472,072950,반도체
473,143240,인터넷
474,100090,금속
475,122350,운송장비·부품
476,014970,종이·목재
477,018310,금속
478,053700,운송장비·부품
479,009620,금속
480,023600,종이·목재
481,380320,금융
482,377630,금융
483,009300,제약
484,225190,의료·정밀기기
485,361670,일반전기전자
486,054540,금속
487,065570,통신장비
488,032280,운송
489,002290,건설
490,037460,통신장비
491,032750,일반전기전자
492,054090,IT부품
493,000250,제약
494,024950,유통
495,038500,비금속
496,017480,금속
497,046390,오락·문화
498,027580,화학
499,038540,컴퓨터서비스
500,307870,금융
501,329560,금융
502,101000,기계·장비
503,091580,IT부품
504,263810,일반전기전자
505,089980,화학
506,042940,건설
507,042600,IT부품
508,252990,반도체
509,263540,운송장비·부품
510,294630,일반전기전자
511,038070,유통
512,006730,숙박·음식
513,079650,비금속
514,100660,기계·장비
515,019770,기계·장비
516,043710,유통
517,092190,IT부품
518,046890,반도체
519,063170,유통
520,027040,유통
521,018680,제약
522,093920,IT부품
523,189860,일반전기전자
524,178320,통신장비
525,122690,운송장비·부품
526,140070,유통
527,011370,건설
528,065710,일반전기전자
529,035890,건설
530,357550,화학
531,003100,운송
532,123420,디지털컨텐츠
533,171090,반도체
534,086710,화학
535,014620,금속
536,037350,기타서비스
537,081580,IT부품
538,045300,반도체
539,015750,운송장비·부품
540,080470,운송장비·부품
541,043260,IT부품
542,148150,일반전기전자
543,053060,운송장비·부품
544,017510,금속
545,011560,건설
546,052190,오락·문화
547,100700,제약
548,234100,운송장비·부품
549,024830,운송장비·부품
550,258830,의료·정밀기기
551,036630,통신서비스
552,039310,기타서비스
553,067770,IT부품
554,053450,의료·정밀기기
555,234340,소프트웨어
556,252500,화학
557,347000,일반전기전자
558,331920,제약
559,049180,제약
560,299660,기타서비스
561,268600,기타서비스
562,108860,소프트웨어
563,208370,의료·정밀기기
564,068760,제약
565,091990,유통
566,290690,일반전기전자
567,053110,디지털컨텐츠
568,950200,기타서비스
569,032680,유통
570,032685,유통
571,258790,출판·매체복제
572,066910,유통
573,043100,의료·정밀기기
574,154040,IT부품
575,035610,기타서비스
576,357780,화학
577,036830,기타서비스
578,304100,소프트웨어
579,086980,오락·문화
580,050960,출판·매체복제
581,084180,기계·장비
582,253840,의료·정밀기기
583,058530,유통
584,236200,일반전기전자
585,317770,일반전기전자
586,094840,컴퓨터서비스
587,192440,IT부품
588,099440,기계·장비
589,033790,통신장비
590,131100,유통
591,159910,반도체
592,115570,화학
593,253450,오락·문화
594,204630,오락·문화
595,013810,기계·장비
596,039670,출판·매체복제
597,049830,금속
598,020710,기타서비스
599,033170,반도체
600,048870,의료·정밀기기
601,025320,IT부품
602,269620,의료·정밀기기
603,131090,소프트웨어
604,139050,컴퓨터서비스
605,290520,기계·장비
606,001000,유통
607,025870,유통
608,215600,기타서비스
609,065350,일반전기전자
610,002800,제약
611,323280,금융
612,344050,금융
613,017000,건설
614,012790,제약
615,138070,금속
616,226330,출판·매체복제
617,333050,금융
618,366330,금융
