,종목코드,PER,PBR,EPS,BPS,DIV,DPS
0,060310,0.0,3.19,0,695,0.0,0
1,054620,4.21,0.7,1749,10544,0.0,0
2,265520,0.0,0.0,0,0,0.0,0
3,211270,17.25,1.52,473,5373,0.0,0
4,032040,0.0,0.67,0,6530,0.0,0
5,130960,56.8,2.29,1611,39922,0.22,200
6,035760,57.49,1.51,3886,147596,1.12,2500
7,051500,0.0,2.22,0,16021,0.56,200
8,058820,355.79,7.27,19,930,0.0,0
9,023460,15.56,0.54,90,2604,1.79,25
10,065770,0.0,2.02,0,1047,0.0,0
11,083660,0.0,5.31,0,1641,0.0,0
12,045890,16.57,0.85,105,2038,0.0,0
13,068790,4.38,1.21,1610,5833,0.71,50
14,241520,68.59,5.85,78,915,0.0,0
15,037370,89.66,1.48,116,7013,0.48,50
16,079190,46.6,2.37,81,1593,0.0,0
17,130500,13.11,1.05,302,3775,2.27,90
18,032860,0.0,1.73,0,372,0.0,0
19,083450,22.6,1.67,458,6191,0.0,0
20,028150,10.96,1.27,17195,148522,3.71,7000
21,078150,8.18,2.02,388,1575,0.94,30
22,036640,19.05,1.01,243,4571,1.73,80
23,225430,1055.0,1.12,2,1880,0.0,0
24,254120,0.0,1.13,0,1867,0.0,0
25,264850,0.0,0.0,0,0,0.0,0
26,276920,0.0,0.0,0,0,0.0,0
27,277410,0.0,0.0,0,0,0.0,0
28,095340,23.73,1.55,710,10870,1.01,170
29,099520,0.0,1.44,0,977,0.0,0
30,067290,0.0,8.98,0,989,0.68,60
31,035900,86.38,11.86,268,1952,0.0,0
32,024120,5.02,0.93,1241,6665,4.82,300
33,021320,10.28,0.55,778,14493,1.25,100
34,036670,12.87,1.9,617,4168,2.27,180
35,044180,70.0,0.93,2,150,0.0,0
36,151860,29.82,1.07,138,3845,2.43,100
37,046440,18.54,1.43,501,6489,2.15,200
38,035600,66.46,3.16,316,6656,1.19,250
39,060720,0.0,0.93,0,12570,0.43,50
40,083470,0.0,0.61,0,2222,0.0,0
41,122450,5.96,1.19,1787,8972,0.0,0
42,052900,22.33,0.91,45,1108,0.0,0
43,058400,19.9,0.77,52,1343,1.93,20
44,114450,28.5,2.08,300,4111,0.0,0
45,036030,49.25,1.04,120,5663,0.0,0
46,060370,19.36,1.05,250,4631,1.03,50
47,065150,0.0,2.77,0,475,0.0,0
48,219550,0.0,1.26,0,1998,0.0,0
49,160550,57.94,1.88,160,4940,0.0,0
50,053290,7.95,0.85,522,4900,1.69,70
51,104200,0.0,1.96,0,4552,0.0,0
52,060250,35.93,4.01,494,4431,0.0,0
53,030190,20.92,3.81,466,2558,1.33,130
54,024940,15.86,0.96,187,3095,0.84,25
55,218410,206.11,1.89,90,9840,0.0,0
56,091340,15.49,0.83,328,6153,0.0,0
57,019550,71.58,2.62,19,520,0.0,0
58,046140,58.69,1.17,145,7263,1.18,100
59,036120,0.0,9.84,0,386,0.0,0
60,099220,0.0,1.12,0,1396,0.0,0
61,036540,49.31,1.4,51,1795,0.0,0
62,255220,5.93,2.15,900,2481,0.0,0
63,040610,0.0,0.33,0,7379,0.0,0
64,049470,0.0,1.17,0,728,0.0,0
65,184230,25.9,1.91,106,1435,0.0,0
66,090730,26.73,1.06,550,13827,0.68,100
67,232330,0.0,1.08,0,1892,0.0,0
68,057500,0.0,8.96,0,532,0.0,0
69,178920,63.94,5.87,714,7783,0.99,450
70,036490,14.47,3.73,10299,39945,2.38,3550
71,052260,25.91,2.46,828,8702,1.17,250
72,048550,0.0,4.28,0,789,0.0,0
73,089230,24.29,1.68,41,594,0.0,0
74,032540,74.92,0.81,62,5763,1.29,60
75,048770,0.0,4.93,0,1238,0.41,25
76,038340,0.0,2.71,0,1326,0.0,0
77,052300,5.49,0.74,96,711,0.0,0
78,040300,25.8,0.48,81,4369,0.72,15
79,051390,14.49,0.6,256,6139,2.7,100
80,052220,30.83,1.39,103,2277,1.42,45
81,079940,17.45,1.89,423,3907,0.41,30
82,078890,7.36,1.18,1400,8715,0.97,100
83,192410,0.0,3.28,0,1880,0.0,0
84,024840,18.22,1.25,132,1922,0.0,0
85,217730,0.0,9.28,0,1617,0.0,0
86,094480,37.35,2.74,115,1566,0.58,25
87,063080,15.74,2.0,4549,35865,0.0,0
88,039240,66.67,0.73,168,15402,1.34,150
89,053950,1433.33,11.51,12,1495,0.0,0
90,011040,15.96,1.5,1485,15814,2.95,700
91,024910,6.75,0.49,518,7145,2.0,70
92,089890,0.0,9.88,0,509,0.0,0
93,198440,106.25,1.07,20,1978,0.0,0
94,049720,13.61,3.11,267,1168,4.81,175
95,014570,24.84,2.36,463,4878,0.87,100
96,098460,44.79,8.7,2228,11477,0.4,400
97,038530,0.0,12.39,0,440,0.0,0
98,227950,251.25,1.1,8,1826,0.0,0
99,215000,7.67,2.32,5825,19218,3.58,1600
100,121440,60.43,0.46,94,12311,2.06,117
101,014200,0.0,1.7,0,2037,0.0,0
102,026910,0.0,0.87,0,4445,0.0,0
103,090150,11.29,0.58,229,4480,1.16,30
104,267320,0.0,0.0,0,0,0.0,0
105,242040,0.0,1.09,0,1832,0.0,0
106,053270,13.38,0.66,142,2872,0.0,0
107,066620,14.18,1.79,1463,11591,1.2,250
108,043650,0.0,0.57,0,10610,0.82,50
109,006050,102.92,0.84,12,1477,0.0,0
110,060480,107.37,1.18,38,3465,1.23,50
111,078130,0.0,1.68,0,476,0.0,0
112,019010,3.8,0.29,3367,43733,2.34,300
113,204620,130.42,0.8,12,1946,0.0,0
114,019660,0.0,3.41,0,1084,0.0,0
115,053260,12.71,0.71,326,5836,2.41,100
116,036190,9.4,1.33,3986,28057,2.4,900
117,049080,0.0,1.8,0,1564,0.0,0
118,035460,0.0,1.11,0,2513,0.0,0
119,187790,0.0,1.91,0,1922,0.0,0
120,151910,0.0,47.8,0,59,0.0,0
121,121600,32.21,2.49,548,7101,0.57,100
122,039860,0.0,5.37,0,1047,0.0,0
123,091970,0.0,1.96,0,3168,0.0,0
124,051490,31.15,1.06,183,5369,1.75,100
125,190510,0.0,0.98,0,21163,0.0,0
126,089600,60.51,7.63,1413,11207,0.46,390
127,138610,0.0,5.63,0,1811,0.0,0
128,130580,18.61,3.11,366,2190,1.23,84
129,036800,7.34,1.53,3152,15175,1.51,350
130,091590,24.54,1.15,485,10373,0.84,100
131,168330,0.0,8.24,0,2428,0.0,0
132,072770,32.32,1.37,41,967,0.0,0
133,212560,5.56,0.64,1001,8768,2.69,150
134,095660,40.93,1.6,485,12397,0.0,0
135,042420,0.0,0.47,0,32645,0.0,0
136,085910,0.0,0.87,0,5047,7.95,350
137,092730,54.57,11.55,1094,5170,0.59,350
138,153460,155.97,0.96,31,5060,0.0,0
139,007390,0.0,40.07,0,670,0.0,0
140,033640,9.77,1.41,865,5994,0.0,0
141,087730,0.0,4.77,0,4998,0.0,0
142,073070,96.85,10.52,73,672,0.35,25
143,081970,130.63,1.69,80,6184,0.0,0
144,089140,6.47,1.73,2024,7588,1.15,150
145,065170,0.0,5.37,0,605,0.0,0
146,139670,0.0,1.46,0,2556,0.0,0
147,051980,0.0,2.43,0,598,0.0,0
148,137940,60.33,2.69,45,1011,0.55,15
149,092600,80.36,1.63,84,4141,0.0,0
150,041140,25.28,2.91,453,3934,0.0,0
151,217270,0.0,6.32,0,2280,0.0,0
152,225570,205.33,1.66,15,1858,0.0,0
153,144510,259.26,13.82,243,4557,0.12,75
154,031390,0.0,17.4,0,3351,0.09,50
155,142280,0.0,4.88,0,2808,0.0,0
156,065560,0.0,6.96,0,1432,0.0,0
157,054050,0.0,1.38,0,11735,0.0,0
158,040160,16.06,1.95,554,4559,0.0,0
