회사명,거래소코드,회계년도,유동자산(요약)(백만원),부채총계(요약)(백만원)
(주)대성파인텍,104040,2020/12,31209,33011
(주)대성하이텍,129920,2020/12,68251,86707
(주)대양금속,009190,2020/12,81316,40491
(주)대우건설,047040,2020/12,5165732,6029114
(주)대웅,003090,2020/12,51102,20940
(주)대웅제약,069620,2020/12,374877,610702
(주)대원,007680,2020/12,275730,163167
(주)대유,290380,2020/12,76278,28448
(주)대유에이텍,002880,2020/12,120176,291009
(주)대유에이피,290120,2020/12,62155,109500
(주)대유플러스,000300,2020/12,80875,143341
(주)대창,012800,2020/12,197648,260578
(주)대창솔루션,096350,2020/12,26077,59450
(주)대창스틸,140520,2020/12,69515,135685
(주)대한과학,131220,2020/12,19431,7385
(주)대한항공,003490,2020/12,3717781,21377868
(주)대현,016090,2020/12,141252,49378
(주)대호에이엘,069460,2020/12,48190,73758
(주)대호특수강,021040,2020/12,67884,67263
(주)더 미동,161570,2020/12,13889,1681
(주)더네이쳐홀딩스,298540,2020/12,172565,93260
(주)더블유게임즈,192080,2020/12,124202,42644
(주)더블유아이,073570,2020/12,29000,11342
(주)더블유에스아이,299170,2020/12,27066,3099
(주)더존비즈온,012510,2020/12,124255,403740
(주)더코디,224060,2020/12,18257,18267
(주)덕산테코피아,317330,2020/12,63079,11308
(주)덕성,004830,2020/12,58552,37548
(주)덕신하우징,090410,2020/12,53477,53015
(주)데이타솔루션,263800,2020/12,59200,44926
(주)덱스터스튜디오,206560,2020/12,40057,11122
(주)덴티스,261200,2020/12,46428,56358
(주)덴티움,145720,2020/12,160619,266789
(주)도화엔지니어링,002150,2020/12,194673,171308
(주)동구바이오제약,006620,2020/12,72353,49701
(주)동국알앤에스,075970,2020/12,42144,39828
(주)동국에스엔씨,100130,2020/12,174032,52368
(주)동남합성,023450,2020/12,28840,32285
(주)동방,004140,2020/12,123113,395532
(주)동방선기,099410,2020/12,12665,4301
(주)동방아그로,007590,2020/12,137454,54222
(주)동서,026960,2020/12,727577,121494
(주)동성케미컬,102260,2020/12,67386,117469
(주)동성화인텍,033500,2020/12,127206,133616
(주)동아엘텍,088130,2020/12,98103,29200
(주)동아지질,028100,2020/12,242830,142978
(주)동양,001520,2020/12,235588,132910
(주)동양고속,084670,2020/12,7737,60795
(주)동양에스텍,060380,2020/12,55241,43372
(주)동우팜투테이블,088910,2020/12,109573,67272
(주)동운아나텍,094170,2020/12,57423,40351
(주)동원개발,013120,2020/12,1031620,164249
(주)동원에프앤비,049770,2020/12,479584,621974
(주)동일기연,032960,2020/12,37775,3513
(주)동진쎄미켐,005290,2020/12,328298,406460
(주)두산,000150,2020/12,1259205,2760522
(주)두산테스나,131970,2020/12,60441,232302
(주)두올,016740,2020/12,124757,112977
(주)듀오백,073190,2020/12,15919,6407
(주)드래곤플라이,030350,2020/12,10260,13496
(주)드림시큐리티,203650,2020/12,14454,15566
(주)드림씨아이에스,223250,2020/12,43065,12135
(주)드림어스컴퍼니,060570,2020/12,142612,75333
(주)드림텍,192650,2020/12,83637,76225
(주)디딤,217620,2020/12,25731,77629
(주)디모아,016670,2020/12,24568,41499
(주)디바이스이엔지,187870,2020/12,129997,58712
(주)디비아이엔씨,012030,2020/12,65439,150187
(주)디스플레이테크,066670,2020/12,65772,15191
(주)디아이,003160,2020/12,58450,68624
(주)디아이씨,092200,2020/12,113339,375026
(주)디아크,078590,2020/12,49637,357890
(주)디알비동일,004840,2020/12,110294,109943
(주)디알젬,263690,2020/12,54038,20083
(주)디알텍,214680,2020/12,53573,53416
(주)디앤씨미디어,263720,2020/12,54898,10720
(주)디어유,376300,2020/12,5647,15926
(주)디에스앤엘,141020,2020/12,78,19928
(주)디에스케이,109740,2020/12,58003,39723
(주)디에이테크놀로지,196490,2020/12,64667,21264
(주)디에이피,066900,2020/12,74795,118742
(주)디엔에이링크,127120,2020/12,44607,14491
(주)디엔에프,092070,2020/12,44295,15577
(주)디엔오토모티브,007340,2020/12,71462,28314
(주)디엠에스,068790,2020/12,212677,158734
(주)디오,039840,2020/12,161946,123471
(주)디와이디,219550,2020/12,14114,3486
(주)디이엔티,079810,2020/12,24255,26405
(주)디지비금융지주,139130,2020/12,,
(주)디지아이,043360,2020/12,24787,5029
(주)디지캡,197140,2020/12,8515,14285
(주)디지털대성,068930,2020/12,21658,40999
(주)디지틀조선일보,033130,2020/12,49409,5785
(주)디케이앤디,263020,2020/12,24207,7079
(주)디케이티,290550,2020/12,42843,9382
(주)디티앤씨,187220,2020/12,29172,69535
(주)딜리,131180,2020/12,29719,6061
(주)딥노이드,315640,2020/12,10314,13591
(주)라닉스,317120,2020/12,7045,15176
(주)라온테크,232680,2020/12,13835,20294
(주)라이온켐텍,171120,2020/12,63941,26153
(주)라이트론,069540,2020/12,38994,18315
(주)라이프시맨틱스,347700,2020/12,6190,7354
(주)라파스,214260,2020/12,24906,10806
(주)락앤락,115390,2020/12,106838,78908
(주)래몽래인,200350,2020/12,19714,3757
(주)랩지노믹스,084650,2020/12,79275,27535
(주)러셀,217500,2020/12,33347,3011
(주)레고켐바이오사이언스,141080,2020/12,100011,23786
(주)레드캡투어,038390,2020/12,29943,283601
(주)레몬,294140,2020/12,24487,38484
(주)레이,228670,2020/12,60394,20528
(주)레이언스,228850,2020/12,158671,15439
(주)레이크머티리얼즈,281740,2020/12,36607,49514
(주)레인보우로보틱스,277810,2020/12,5996,4825
(주)로보로보,215100,2020/12,15275,1180
(주)로보스타,090360,2020/12,98598,58335
(주)로보티즈,108490,2020/12,42779,9535
(주)로지시스,067730,2020/12,17968,7608
(주)루닛,328130,2020/12,21984,155761
(주)루멘스,038060,2020/12,85893,76539
(주)루트로닉,085370,2020/12,119084,65913
(주)룽투코리아,060240,2020/12,56268,6203
(주)리노스,039980,2020/12,75393,17392
(주)리더스기술투자,019570,2021/03,,
(주)리더스코스메틱,016100,2020/12,11654,49970
(주)리드코프,012700,2020/12,40671,491586
(주)리메드,302550,2020/12,45896,48584
(주)리파인,377450,2020/12,37664,13383
(주)링네트,042500,2020/12,108923,53776
(주)링크제니시스,219420,2020/12,37641,8389
(주)마니커,027740,2020/12,46469,117453
(주)마니커에프앤지,195500,2020/12,48239,45407
(주)마이크로디지탈,305090,2020/12,10072,13150
(주)마이크로컨텍솔루션,098120,2020/12,25361,7838
(주)마이크로프랜드,147760,2020/12,32837,18345
(주)마인즈랩,377480,2020/12,12822,76955
(주)마크로젠,038290,2020/12,85734,73981
(주)매직마이크로,127160,2020/12,31405,54918
(주)매커스,093520,2020/12,74157,37218
(주)맥스트,377030,2020/12,4084,2608
(주)머큐리,100590,2020/12,87890,45920
(주)멀티캠퍼스,067280,2020/12,88595,71035
(주)메드팩토,235980,2020/12,49024,2753
(주)메디아나,041920,2020/12,49892,8427
(주)메디콕스,054180,2020/12,7108,46933
(주)메디톡스,086900,2020/12,107256,208971
(주)메디프론디비티,065650,2020/12,17561,17184
(주)메리츠금융지주,138040,2020/12,,
(주)메지온,140410,2020/12,59523,14547
(주)메카로,241770,2020/12,61889,13623
(주)메타랩스,090370,2020/12,15578,13208
(주)메타바이오메드,059210,2020/12,49407,53704
(주)멕아이씨에스,058110,2020/12,41058,29038
(주)멜파스,096640,2020/12,9661,32326
(주)모나리자,012690,2020/12,38115,20100
(주)모나미,005360,2020/12,27216,81618
(주)모다이노칩,080420,2020/12,83898,422795
(주)모두투어네트워크,080160,2020/12,90896,83378
(주)모베이스,101330,2020/12,60675,44733
(주)모베이스전자,012860,2020/12,250903,406832
(주)모비데이즈,363260,2020/12,,
(주)모비릭스,348030,2020/12,29216,5716
(주)모비스,250060,2020/12,6919,6538
(주)모아데이타,288980,2020/12,11673,13670
(주)모아텍,033200,2021/03,48236,5659
(주)모코엠시스,333050,2020/12,,
(주)모토닉,009680,2020/12,358915,27801
(주)모헨즈,006920,2020/12,7237,7981
(주)무학,033920,2020/12,83311,72514
(주)미래생명자원,218150,2020/12,20478,3294
(주)미래아이앤지,007120,2020/12,59822,2852
(주)미래컴퍼니,049950,2020/12,59661,24822
(주)미코,059090,2020/12,42108,86322
(주)미코바이오메드,214610,2020/12,56459,14471
(주)미투온,201490,2020/12,6236,33204
(주)바른손이앤에이,035620,2020/12,8450,21897
(주)바른전자,064520,2020/12,13887,8045
(주)바이넥스,053030,2020/12,116636,96023
(주)바이브컴퍼니,301300,2020/12,30530,25842
(주)바이오니아,064550,2020/12,77930,37448
(주)바이오다인,314930,2020/12,6690,18242
(주)바이오로그디바이스,208710,2020/12,30955,45677
(주)바이오솔루션,086820,2020/12,40687,3134
(주)바이오스마트,038460,2020/12,30063,13134
(주)바이오에프디엔씨,251120,2020/12,7867,5202
(주)바이오톡스텍,086040,2020/12,26330,29617
(주)바텍,043150,2020/12,156737,85930
(주)박셀바이오,323990,2020/12,19186,830
(주)배럴,267790,2020/12,28692,9037
(주)백금티앤에이,046310,2020/12,30103,24537
(주)백산,035150,2020/12,102999,107940
(주)밸로프,331520,2020/12,,
(주)버킷스튜디오,066410,2020/12,31371,23406
(주)베노홀딩스,206400,2020/12,54022,23282
(주)베셀,177350,2020/12,21625,35043
(주)베스파,299910,2020/12,34528,22880
(주)벽산,007210,2020/12,111880,140478
(주)보광산업,225530,2020/12,49292,54097
(주)보라티알,250000,2020/12,52291,26450
(주)보락,002760,2020/12,17472,10107
(주)보령,003850,2020/12,307836,298835
(주)본느,226340,2020/12,39533,19355
(주)부-스타,008470,2020/12,62796,16500
(주)부방,014470,2020/12,9675,14879
(주)뷰노,338220,2020/12,7380,13229
(주)뷰웍스,100120,2020/12,107007,24180
(주)브랜드엑스코퍼레이션,337930,2020/12,56624,11905
(주)브리지텍,064480,2020/12,22181,8936
(주)브이씨,365900,2020/12,27131,16499
(주)브이원텍,251630,2020/12,50233,8939
(주)브이티지엠피,018290,2020/12,56635,62812
(주)블루베리엔에프티,044480,2020/12,18664,18830
(주)블루콤,033560,2020/12,43337,16000
(주)블리츠웨이,369370,2020/12,,
(주)비덴트,121800,2020/12,76713,69583
(주)비보존헬스케어,082800,2020/12,91074,89936
(주)비비안,002070,2020/12,94460,95124
(주)비상교육,100220,2020/12,102479,54693
(주)비스토스,419540,2020/12,5430,1359
(주)비씨월드제약,200780,2020/12,44300,60247
(주)비아트론,141000,2020/12,119484,37928
(주)비에이치,090460,2020/12,280074,154857
(주)비엔지티,032790,2020/12,16710,11840
(주)비엘,142760,2020/12,33247,32865
(주)비엘팜텍,065170,2020/12,24252,8995
(주)비엠티,086670,2020/12,78756,71729
(주)비올,335890,2020/12,20095,3888
(주)비와이씨,001460,2020/12,114148,219037
(주)비즈니스온커뮤니케이션,138580,2020/12,27843,3920
(주)비지에프,027410,2020/12,375855,39847
(주)비지에프리테일,282330,2020/12,805009,1636846
(주)비츠로셀,082920,2020/12,100075,32224
(주)비츠로시스,054220,2021/03,2489,9351
(주)비츠로테크,042370,2020/12,23784,31855
(주)비케이홀딩스,050090,2020/12,39485,16559
(주)비투엔,307870,2020/12,,
(주)비트나인,357880,2020/12,4775,11177
(주)비트컴퓨터,032850,2020/12,20757,15678
(주)비피도,238200,2020/12,38314,6664
(주)빅솔론,093190,2020/12,127302,14218
(주)빅텍,065450,2020/12,75168,60476
(주)빙그레,005180,2020/12,265902,123971
(주)사람인에이치알,143240,2020/12,76643,17655
(주)사조대림,003960,2020/12,256037,309379
(주)사조오양,006090,2020/12,130709,133950
(주)산돌,419120,2020/12,12793,16431
(주)삼기,122350,2020/12,143408,289275
(주)삼보판지,023600,2020/12,50428,63308
(주)삼성출판사,068290,2020/12,40142,25635
(주)삼양사,145990,2020/12,694107,902604
(주)삼양옵틱스,225190,2020/12,23478,9211
(주)삼양패키징,272550,2020/12,143750,256763
(주)삼양홀딩스,000070,2020/12,374177,247068
(주)삼에스코리아,060310,2021/03,16021,16924
(주)삼영에스앤씨,361670,2020/12,12478,3702
(주)삼원강재,023000,2020/12,133525,45218
(주)삼익악기,002450,2020/12,74813,189343
(주)삼일,032280,2020/12,20794,51132
(주)삼일기업공사,002290,2020/12,59606,8208
(주)삼일씨엔에스,004440,2020/12,125546,49036
(주)삼진,032750,2020/12,42602,13981
(주)삼진엘앤디,054090,2020/12,53709,44602
(주)삼천리,004690,2020/12,1015480,1514860
(주)삼표시멘트,038500,2020/12,192433,514258
(주)삼화네트웍스,046390,2020/12,22324,5094
(주)상보,027580,2020/12,42121,62756
(주)상상인,038540,2020/12,37247,25590
(주)상상인인더스트리,101000,2020/12,32815,15478
(주)상상인증권,001290,2020/12,,
(주)상아프론테크,089980,2020/12,108894,80887
(주)상지카일룸,042940,2020/12,67055,51827
(주)새로닉스,042600,2020/12,17950,37263
(주)새빗켐,107600,2020/12,7836,6367
(주)샘씨엔에스,252990,2020/12,17108,22250
(주)샤페론,378800,2020/12,30156,84519
(주)서남,294630,2020/12,6946,3945
(주)서린바이오사이언스,038070,2020/12,38301,15554
(주)서부티엔디,006730,2020/12,157054,1170517
(주)서산,079650,2020/12,27518,4773
(주)서연,007860,2020/12,23870,3351
(주)서연이화,200880,2020/12,406201,507176
(주)서연탑메탈,019770,2020/12,77481,57186
(주)서울리거,043710,2020/12,29804,17076
(주)서울옥션,063170,2020/12,75697,80428
(주)서울제약,018680,2020/12,25933,36235
(주)서원,021050,2020/12,71870,100604
(주)서원인텍,093920,2020/12,140682,15889
(주)서전기전,189860,2020/12,24753,16099
(주)서진시스템,178320,2020/12,121870,206428
(주)서진오토모티브,122690,2020/12,50569,158403
(주)서플러스글로벌,140070,2020/12,115658,82855
(주)서한,011370,2020/12,434582,225470
(주)서흥,008490,2020/12,185416,204725
(주)서희건설,035890,2020/12,787579,502071
(주)석경에이티,357550,2020/12,15722,6291
(주)선광,003100,2020/12,43074,118113
(주)선앤엘,002820,2020/12,107975,214927
(주)선익시스템,171090,2020/12,61182,15725
(주)선진,136490,2020/12,292266,418544
(주)성광벤드,014620,2020/12,234706,33554
(주)성도이엔지,037350,2020/12,125688,129877
(주)성안,011300,2020/12,23553,78629
(주)성우하이텍,015750,2020/12,758511,866342
(주)성창오토텍,080470,2020/12,49883,43704
(주)세경하이테크,148150,2020/12,126677,52757
(주)세동,053060,2020/12,23716,83234
(주)세림비앤지,340440,2020/12,,
(주)세보엠이씨,011560,2020/12,252368,156748
(주)세아메카닉스,396300,2020/12,30461,13897
(주)세아베스틸지주,001430,2020/12,781178,1087359
(주)세아제강,306200,2020/12,487375,456801
(주)세아제강지주,003030,2020/12,12448,56707
(주)세아특수강,019440,2020/12,246774,120658
(주)세아홀딩스,058650,2020/12,5899,132746
(주)세우글로벌,013000,2020/12,39455,4115
(주)세운메디칼,100700,2020/12,63649,9493
(주)세원물산,024830,2020/12,74346,111030
(주)세이브존아이앤씨,067830,2020/12,72842,107306
(주)세종메디칼,258830,2020/12,19162,2172
(주)세중,039310,2020/12,29839,6628
(주)세진중공업,075580,2020/12,104935,219259
(주)세진티에스,067770,2020/12,24597,1711
(주)세코닉스,053450,2020/12,134678,207239
(주)세토피아,222810,2020/12,25057,6728
(주)세화피앤씨,252500,2020/12,21459,3707
(주)센코,347000,2020/12,24046,7871
(주)센트랄모텍,308170,2020/12,65184,138578
(주)센트럴인사이트,012600,2020/12,7110,11273
(주)셀레믹스,331920,2020/12,28311,1242
(주)셀루메드,049180,2020/12,15470,16014
(주)셀리드,299660,2020/12,12975,2104
(주)셀리버리,268600,2020/12,54658,22123
(주)셀바스에이아이,108860,2020/12,14877,21026
(주)셀바스헬스케어,208370,2020/12,23181,19561
(주)셀트리온,068270,2020/12,2294204,1359837
(주)셀트리온제약,068760,2020/12,230921,247514
(주)셀트리온헬스케어,091990,2020/12,3186182,1630904
(주)셀피글로벌,068940,2020/12,25909,18346
(주)소룩스,290690,2020/12,34802,23561
(주)소마젠,950200,2020/12,34157,13363
(주)소프트센,032680,2020/12,28739,21302
(주)손오공,066910,2020/12,35512,23171
(주)솔고바이오메디칼,043100,2020/12,18286,18034
(주)솔루에타,154040,2020/12,34882,43360
(주)솔루엠,248070,2020/12,152724,170230
(주)솔본,035610,2020/12,15492,3052
(주)솔트룩스,304100,2020/12,41912,5491
(주)쇼박스,086980,2020/12,104712,15918
(주)수산아이앤티,050960,2020/12,29730,4152
(주)수산인더스트리,126720,2020/12,90549,40709
(주)수산중공업,017550,2020/12,37859,59741
(주)수젠텍,253840,2020/12,51566,9257
(주)슈프리마,236200,2020/12,78910,7600
(주)슈프리마아이디,317770,2020/12,35405,1950
(주)슈프리마에이치큐,094840,2020/12,43997,6504
(주)슈피겐코리아,192440,2020/12,152169,42292
(주)스마트솔루션즈,136510,2020/12,14174,12394
(주)스맥,099440,2020/12,109918,109270
(주)스카이문스테크놀로지,033790,2020/12,11854,6498
(주)스코넥엔터테인먼트,276040,2020/12,3201,9138
(주)스킨앤스킨,159910,2020/12,9368,4754
(주)스타플렉스,115570,2020/12,41668,60470
(주)스튜디오산타클로스엔터테인먼트,204630,2020/12,25022,28054
(주)스페코,013810,2020/12,27185,36423
(주)승일,049830,2020/12,61510,32680
(주)시공테크,020710,2020/12,57281,36754
(주)시너지이노베이션,048870,2020/12,16704,41674
(주)시노펙스,025320,2020/12,35749,46870
(주)시디즈,134790,2020/12,58459,46988
(주)시스웍,269620,2020/12,47265,36070
(주)시큐브,131090,2020/12,31108,4083
(주)시티랩스,139050,2020/12,7971,33399
(주)신도기연,290520,2020/12,48215,20787
(주)신도리코,029530,2020/12,674180,60396
(주)신성이엔지,011930,2020/12,123034,190310
(주)신세계,004170,2020/12,480403,3928791
(주)신세계아이앤씨,035510,2020/12,146747,72336
(주)신세계인터내셔날,031430,2020/12,366931,481422
(주)신세계푸드,031440,2020/12,230936,594737
(주)신영와코루,005800,2020/12,177708,54395
(주)신원,009270,2020/12,253501,232073
(주)신진에스엠,138070,2020/12,40680,30085
(주)신테카바이오,226330,2020/12,41536,3238
(주)신한금융지주회사,055550,2020/12,,
(주)신화다이나믹스,001770,2020/12,41573,29596
(주)신화콘텍,187270,2020/12,36772,40788
(주)신흥,004080,2020/12,57665,47266
(주)실리콘투,257720,2020/12,27097,13437
(주)심텍,222800,2020/12,168816,437930
(주)심텍홀딩스,036710,2020/12,879,4252
(주)싸이맥스,160980,2020/12,102195,51986
(주)싸이버원,356890,2020/12,8325,2350
(주)싸이토젠,217330,2020/12,22400,9974
(주)쌍방울,102280,2020/12,86265,128417
(주)썸에이지,208640,2020/12,22121,3905
(주)쎄노텍,222420,2020/12,26076,53048
(주)쎄니트,037760,2020/12,37367,55401
(주)쎄트렉아이,099320,2020/12,61219,28300
(주)쎌마테라퓨틱스,015540,2020/12,26241,31614
(주)쎌바이오텍,049960,2020/12,63974,3440
(주)쏘카,403550,2020/12,96794,196857
(주)쏠리드,050890,2020/12,108533,149661
(주)씨씨에스충북방송,066790,2020/12,15152,8258
(주)씨아이테크,004920,2020/12,5657,19437
(주)씨앤씨인터내셔널,352480,2020/12,47148,78248
(주)씨앤투스성진,352700,2020/12,70558,48213
(주)씨에스,065770,2020/12,21802,6181
(주)씨에스에이코스믹,083660,2020/12,18070,17142
(주)씨엔알리서치,359090,2020/12,,
(주)씨엔플러스,115530,2020/12,12200,14987
(주)씨유메디칼시스템,115480,2020/12,37292,29680
(주)씨이랩,189330,2020/12,8852,8743
(주)씨제이이엔엠,035760,2020/12,1144981,1804763
(주)씨젠,096530,2020/12,781307,398784
(주)씨티씨바이오,060590,2020/12,60328,79628
(주)씨티케이,260930,2020/12,93011,23115
(주)아가방앤컴퍼니,013990,2020/12,76773,52314
(주)아나패스,123860,2020/12,79650,74148
(주)아난티,025980,2020/12,64793,245058
(주)아리온테크놀로지,058220,2020/12,15206,35548
(주)아모그린텍,125210,2020/12,64175,66213
(주)아모레퍼시픽,090430,2020/12,1389842,479193
(주)아모레퍼시픽그룹,002790,2020/12,413443,55936
(주)아모센스,357580,2020/12,31565,45950
(주)아모텍,052710,2020/12,156950,259383
(주)아미노로직스,074430,2020/12,35323,6567
(주)아바코,083930,2020/12,139063,63684
(주)아바텍,149950,2020/12,39843,10716
(주)아센디오,012170,2020/12,15441,6591
(주)아셈스,136410,2020/12,21363,23939
(주)아스타,246720,2020/12,4992,1864
(주)아스트,067390,2020/12,175122,221491
(주)아스플로,159010,2020/12,29410,43905
(주)아시아경제,127710,2020/12,61135,38702
(주)아우딘퓨쳐스,227610,2020/12,30460,32024
(주)아이디스,143160,2020/12,120617,20665
(주)아이디스홀딩스,054800,2020/12,10880,107416
(주)아이마켓코리아,122900,2020/12,564061,407506
(주)아이비김영,339950,2020/12,13498,20216
(주)아이센스,099190,2020/12,141581,70460
(주)아이스크림에듀,289010,2020/12,63577,26500
(주)아이씨디,040910,2020/12,125368,47726
(주)아이씨에이치,368600,2020/12,14252,21410
(주)아이앤씨테크놀로지,052860,2020/12,22785,13330
(주)아이에스시,095340,2020/12,92982,56778
(주)아이에스이커머스,069920,2020/12,25478,28362
