,종목코드,코스닥 일별변동 표준편차,연간 수익률,1년_만기_국채수익률,코스닥 샤프지수
0,000440,3.6343398926176573,40.02808988764045,0.984,10.743103573485165
1,001000,4.5252854050692575,95.55555555555556,0.984,20.898473154779545
2,001540,3.552776993469242,47.38598442714127,0.984,13.060764723605775
3,001840,4.5161653321283115,122.22222222222223,0.984,26.845390570563296
4,002230,2.797319135767166,102.61682242990655,0.984,36.33222292387233
5,002680,3.435846881926565,-13.756345177664976,0.984,-4.290163585345717
6,002800,4.467604359007819,-1.5151515151515151,0.984,-0.5593940990125043
7,003310,4.348382131996519,126.74418604651163,0.984,28.921144055196002
8,003380,2.8033343835260447,85.38538538538538,0.984,30.10749837100239
9,003800,1.675424415991568,15.22911051212938,0.984,8.502389231148145
10,004590,2.8050532022542214,90.22988505747126,0.984,31.816111361364094
11,004650,2.1073024141826306,0.7692307692307693,0.984,-0.1019166633719889
12,004780,2.4471838644025543,94.3801652892562,0.984,38.16475200242364
13,005160,3.2559244907196465,81.81818181818183,0.984,24.82679867072572
14,005290,3.511658263350027,151.73745173745175,0.984,42.92941978745877
15,005670,3.4398079025357697,58.38509316770186,0.984,16.68729614970264
16,005710,2.885141909800583,93.60613810741688,0.984,32.10314813035273
17,005860,2.393601777337685,35.19163763066202,0.984,14.291281847521818
18,006050,4.63010473693697,-1.7241379310344827,0.984,-0.5848977690353592
19,006140,3.5303271144647086,106.5,0.984,29.888448457841854
20,006580,2.390080346493802,22.78719397363465,0.984,9.122368628995876
21,006620,3.7201991831804655,113.13698895562877,0.984,30.147038756066593
22,007330,3.5662502379110044,232.61802575107296,0.984,64.95170285267385
23,007370,4.078184249173714,-0.1652892561983471,0.984,-0.28181396081631327
24,007390,3.212959984571384,13.295454545454547,0.984,3.8318107304709934
25,007530,2.9933979083361315,181.3008130081301,0.984,60.238170310060276
26,007680,3.1467991019795933,7.023411371237458,0.984,1.9192236858839116
27,007720,3.2468123338358597,46.96969696969697,0.984,14.163336910627168
28,007770,3.463708344222405,96.7948717948718,0.984,27.661356636648673
29,007820,2.386013715144599,4.5769764216366156,0.984,1.505849022925198
30,008290,3.7342438386929944,-24.38563327032136,0.984,-6.793780579470908
31,008370,2.3401562303298644,75.57471264367817,0.984,31.874244837561122
32,008830,2.5618719404850148,92.9245283018868,0.984,35.88802658281217
33,009520,4.452076221150331,180.66666666666666,0.984,40.3592970428166
34,009730,5.456227225311523,-51.9893899204244,0.984,-9.708794691445403
35,009780,2.788479949488677,25.85987261146497,0.984,8.920943690495767
36,010170,3.5029171935318284,52.995391705069125,0.984,14.848022043201215
37,010240,3.7091461527779424,248.52941176470588,0.984,66.73919052213897
38,010280,3.1952756179694455,9.777347531461762,0.984,2.7519840485778864
39,010470,3.442875607066589,81.20184899845917,0.984,23.299665208295654
40,011040,4.563058193144636,36.60220994475138,0.984,7.805775959259694
41,011080,6.073937006869243,356.3917525773196,0.984,58.51357236260035
42,011320,3.4711921357067834,93.54838709677419,0.984,26.66645448536279
43,012340,4.604466416472816,92.07161125319693,0.984,19.782446653823847
44,012620,1.8231851431203296,58.246656760772666,0.984,31.40803169488824
45,012790,7.692987103921961,109.42268365581249,0.984,14.095783886148643
46,013030,3.1148890362910104,58.85167464114832,0.984,18.57776439768559
47,013120,1.8463361813705057,68.22429906542055,0.984,36.41823181708391
48,013310,3.6209368703960076,114.73988439306358,0.984,31.41614683291138
49,013720,4.214950328681994,605.1020408163265,0.984,143.32744011368527
50,013810,6.912250309786413,320.8067940552017,0.984,46.268983286440644
51,013990,3.2164606798521196,22.782608695652172,0.984,6.777203536856041
52,014190,4.688684599832337,289.4957983193277,0.984,61.533633192056605
53,014200,2.643304213791163,2.4096385542168677,0.984,0.5393395685516437
54,014570,3.8481083263064426,33.72781065088758,0.984,8.509066760684542
55,014940,5.219168861639936,571.985815602837,0.984,109.4047406282655
56,015710,2.6199926943491234,90.25641025641026,0.984,34.07353404036416
57,016250,3.629341160822926,34.333767844084825,0.984,9.188931645247429
58,016600,2.095950166369607,-2.727272727272727,0.984,-1.7706874842835687
59,016790,3.3155237788932883,55.65302144249513,0.984,16.488803908003785
60,016920,4.5268675175381325,90.5511811023622,0.984,19.78568640574486
61,017000,5.060773863659625,253.23590814196245,0.984,49.84453266195739
62,017250,1.8232365602066511,-21.813725490196077,0.984,-12.503986585049674
63,017650,3.0584315851166872,77.77777777777779,0.984,25.108875461357723
64,017890,3.3250960694719875,28.35820895522388,0.984,8.232606933239916
65,018000,6.2548220349185355,463.8157894736843,0.984,73.9959965111481
66,018120,0.9244194804438511,23.37917485265226,0.984,24.226203932763763
67,018620,3.7309815940341817,43.455497382198956,0.984,11.383464729526041
68,019210,2.8993348273730417,109.13838120104438,0.984,37.30317043065987
69,019540,3.873768567536178,84.48275862068965,0.984,21.55491665672664
70,019550,4.353653360458738,250.0,0.984,57.19702038330437
71,019590,3.0066378568168153,-15.770609318996415,0.984,-5.572539865753849
72,019660,4.992148757590316,158.88888888888889,0.984,31.630645751251357
73,019990,4.42441716916348,217.09233791748525,0.984,48.844475928644094
74,020180,3.334024888166016,110.97954790096878,0.984,32.99181967459015
75,020400,2.461371709936709,38.59397417503587,0.984,15.280087125078298
76,020710,2.030077923353256,22.02688728024819,0.984,10.365556434153929
77,021040,2.9526697242529822,15.134370579915135,0.984,4.792398710795581
78,021045,3.9545222627099808,2.380952380952381,0.984,0.35325439791431806
79,021080,4.306434321792019,169.45454545454547,0.984,39.12065826756659
80,021320,2.0494461615733295,90.61522419186653,0.984,43.734363884464265
