,거래일자,종목코드,외국인_일순매수금액
182,20210318,KR7032681009,516000
183,20210318,KR7032750002,-8263000
184,20210318,KR7032800005,28255069
185,20210318,KR7032820003,256326795
186,20210318,KR7032850000,318072800
187,20210318,KR7032860009,36295450
188,20210318,KR7032940009,35492060
189,20210318,KR7032960007,-45325100
190,20210318,KR7032980005,-641546345
191,20210318,KR7033050006,16951160
192,20210318,KR7033100009,-121767860
193,20210318,KR7033130006,93217350
194,20210318,KR7033160003,133226550
195,20210318,KR7033170002,282980690
196,20210318,KR7033200007,-6448800
197,20210318,KR7033230004,23953480
198,20210318,KR7033290008,890318240
199,20210318,KR7033310004,1239070350
200,20210318,KR7033320003,-12899880
201,20210318,KR7033340001,38488100
202,20210318,KR7033500000,-459529700
203,20210318,KR7033540006,867659110
204,20210318,KR7033560004,-124331410
205,20210318,KR7033640004,833290700
206,20210318,KR7034230003,425047800
207,20210318,KR7034810002,271073800
208,20210318,KR7034940007,-222138905
209,20210318,KR7034950006,-11559700
210,20210318,KR7035080001,3831865055
211,20210318,KR7035200005,57127255
212,20210318,KR7035460005,-57941605
213,20210318,KR7035600006,-188649650
214,20210318,KR7035610005,-243412720
215,20210318,KR7035620004,38100140
216,20210318,KR7035760008,1082966800
217,20210318,KR7035810001,-291113870
218,20210318,KR7035890003,-14121745
219,20210318,KR7035900000,-463875850
220,20210318,KR7036000008,753745
221,20210318,KR7036010007,-36463370
222,20210318,KR7036030005,84812370
223,20210318,KR7036090009,25492450
224,20210318,KR7036120004,-59127295
225,20210318,KR7036170009,173067100
226,20210318,KR7036190007,-18427200
227,20210318,KR7036200004,-516065700
228,20210318,KR7036480002,-34717500
229,20210318,KR7036490001,-1357589100
230,20210318,KR7036540003,-186033560
231,20210318,KR7036560001,13076820
232,20210318,KR7036620003,124548739
233,20210318,KR7036630002,684006153
234,20210318,KR7036640001,154597770
235,20210318,KR7036670008,-905070
236,20210318,KR7036690006,13040100
237,20210318,KR7036710002,-66928335
238,20210318,KR7036800001,-13992900
239,20210318,KR7036810000,-115874350
240,20210318,KR7036830008,-382803400
241,20210318,KR7036890002,74856800
242,20210318,KR7036930006,1346735950
243,20210318,KR7037030004,-7745550
244,20210318,KR7037070000,-1600800
245,20210318,KR7037230000,-425357415
246,20210318,KR7037330008,4673115
247,20210318,KR7037350006,-115625020
248,20210318,KR7037370004,-27446350
249,20210318,KR7037400009,48695925
250,20210318,KR7037440005,-22605210
251,20210318,KR7037460003,-48596200
252,20210318,KR7037760006,178109070
253,20210318,KR7037950003,-30752070
254,20210318,KR7038010005,-91069560
255,20210318,KR7038060000,342295
256,20210318,KR7038070009,-19276500
257,20210318,KR7038110003,123891540
258,20210318,KR7038290003,-789983700
259,20210318,KR7038340006,38630429
260,20210318,KR7038390001,7273700
261,20210318,KR7038460002,-188230
262,20210318,KR7038500005,16341360
263,20210318,KR7038530002,90948205
264,20210318,KR7038540001,448839570
265,20210318,KR7038620001,-28741930
266,20210318,KR7038680005,-1717240
267,20210318,KR7038870002,-70088140
268,20210318,KR7038880001,-1714232660
269,20210318,KR7038950002,6708920
270,20210318,KR7039010004,-87171450
271,20210318,KR7039020003,109966945
272,20210318,KR7039030002,-2329923600
273,20210318,KR7039200001,-3895563950
274,20210318,KR7039240007,-6637500
275,20210318,KR7039290002,77609650
276,20210318,KR7039310008,49702620
277,20210318,KR7039340005,3557450
278,20210318,KR7039420005,279590850
279,20210318,KR7039440003,458717850
280,20210318,KR7039560008,5351650
281,20210318,KR7039610001,-28424950
282,20210318,KR7039740006,19321050
283,20210318,KR7039830005,-618406100
284,20210318,KR7039840004,39392600
285,20210318,KR7039860002,-400010470
286,20210318,KR7039980008,1341435
287,20210318,KR7040160004,18046010
288,20210318,KR7040300006,13824540
289,20210318,KR7040350001,81181370
290,20210318,KR7040420002,19907610
291,20210318,KR7040610008,125293030
292,20210318,KR7040910002,-201719400
293,20210318,KR7041020009,-16899215
294,20210318,KR7041140005,-84101600
295,20210318,KR7041190000,5455070250
296,20210318,KR7041440009,-4820810
297,20210318,KR7041460007,62969670
298,20210318,KR7041510009,-1730000650
299,20210318,KR7041520008,68097300
300,20210318,KR7041590001,-6075906
301,20210318,KR7041830001,-17937400
302,20210318,KR7041910001,9124450
303,20210318,KR7041920000,440870600
304,20210318,KR7041930009,-37573350
305,20210318,KR7041960006,-554782550
306,20210318,KR7042000000,841670900
307,20210318,KR7042040006,-436375705
308,20210318,KR7042110007,14888285
309,20210318,KR7042370007,177652420
310,20210318,KR7042420000,-268436600
311,20210318,KR7042500009,167031940
312,20210318,KR7042510008,158296945
313,20210318,KR7042520007,150100300
314,20210318,KR7042600007,120598150
315,20210318,KR7042940007,96063175
316,20210318,KR7043090000,-159094300
317,20210318,KR7043150002,730882450
318,20210318,KR7043200005,161605470
319,20210318,KR7043220003,263787215
320,20210318,KR7043260009,48517105
321,20210318,KR7043290006,-292126320
322,20210318,KR7043340009,11576475
323,20210318,KR7043360007,-418335
324,20210318,KR7043370006,569330050
