회사명,거래소코드,회계년도,종가
KB KBSTAR 내수주플러스증권상장지수투자신탁(주식),326230,2021/03/31,10770
KB KBSTAR 단기국공채액티브증권상장지수투자신탁(채권),272560,2021/03/31,101915
KB KBSTAR 단기통안채증권상장지수투자신탁(채권),196230,2021/03/31,104360
KB KBSTAR 대형고배당10Total Return증권상장지수투자신탁(주식),315960,2021/03/31,17040
KB KBSTAR 모멘텀로우볼증권상장지수투자신탁(주식),252730,2021/03/31,16380
KB KBSTAR 모멘텀밸류증권상장지수투자신탁(주식),252720,2021/03/31,15275
KB KBSTAR 미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),219390,2021/03/31,3615
KB KBSTAR 미국고정배당우선증권ICE TR증권상장지수투자신탁(주식혼합),354240,2021/03/31,10075
KB KBSTAR 미국나스닥100증권상장지수투자신탁(주식),368590,2021/03/31,10870
KB KBSTAR 미국장기국채선물레버리지증권상장지수투자신탁(채권-파생형)(합성 H),267490,2021/03/31,11585
KB KBSTAR 미국장기국채선물인버스2X증권상장지수투자신탁(채권-파생형)(합성 H),267500,2021/03/31,7015
KB KBSTAR 미국장기국채선물인버스증권상장지수투자신탁(채권-파생형)(H),267450,2021/03/31,8530
KB KBSTAR 미국장기국채선물증권상장지수투자신탁(채권-파생형)(H),267440,2021/03/31,10975
KB KBSTAR 수출주증권상장지수투자신탁(주식),140570,2021/03/31,12700
KB KBSTAR 우량업종대표주증권상장지수투자신탁(주식),140580,2021/03/31,11965
KB KBSTAR 주식혼합증권상장지수투자신탁(주식혼합-파생형),183710,2021/03/31,44525
KB KBSTAR 중국MSCI China증권상장지수투자신탁(주식)(H),310080,2021/03/31,14060
KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),174360,2021/03/31,21680
KB KBSTAR 중기우량회사채증권상장지수투자신탁(채권),136340,2021/03/31,105245
KB KBSTAR 중소형고배당증권상장지수투자신탁(주식),281990,2021/03/31,11670
KB KBSTAR 중소형모멘텀로우볼증권상장지수투자신탁(주식),300280,2021/03/31,10635
KB KBSTAR 중소형모멘텀밸류증권상장지수투자신탁(주식),300290,2021/03/31,12750
KB KBSTAR 중장기국공채액티브증권상장지수투자신탁(채권),272570,2021/03/31,103400
KB KBSTAR 차이나HSCEI증권상장지수투자신탁(주식)(H),250730,2021/03/31,12475
KB KBSTAR 차이나H선물인버스증권상장지수투자신탁(주식-파생형)(H),291680,2021/03/31,9410
KB KBSTAR 차이나항셍테크증권상장지수투자신탁(주식),371150,2021/03/31,10405
KB KBSTAR 채권혼합증권상장지수투자신탁(채권혼합-파생형),183700,2021/03/31,64245
KB KBSTAR 코스닥150선물레버리지증권상장지수투자신탁(주식-파생형),278240,2021/03/31,14710
KB KBSTAR 코스닥150선물인버스증권상장지수투자신탁(주식-파생형),275750,2021/03/31,4865
KB KBSTAR 코스닥150증권상장지수투자신탁(주식),270810,2021/03/31,14095
KB KBSTAR 코스피ex200증권상장지수투자신탁(주식),361590,2021/03/31,13265
