,종목코드,코스피 일일변동 평균
0,000020,0.4480716446586049
1,000040,0.46339606879867523
2,000050,0.2722592032225261
3,000060,0.2101356761017587
4,000070,0.3872459373610103
5,000075,0.3452310943347294
6,000080,0.15325302562944582
7,000087,0.18565536036470595
8,000100,0.17869764582909642
9,000105,0.20320967569577814
10,000120,0.14404347889583155
11,000140,0.2381125629824867
12,000145,0.1945425738414517
13,000150,0.23296059224082338
14,000155,0.14131298948231993
15,000157,0.4644835974289034
16,000180,0.3026812758841156
17,000210,0.1652866229442884
18,000215,0.2151964540598505
19,000220,0.31018066198327876
20,000225,0.5820120815219177
21,000227,0.6012455830519754
22,000230,0.28391042555199725
23,000240,0.40655592713213484
24,000270,0.5247123227632431
25,000300,0.16128586665274827
26,000320,0.21552243486818487
27,000325,0.07824125649672073
28,000370,0.4886534522672083
29,000390,0.5227535791543457
30,000400,0.1706727362255466
31,000430,0.22490807907052354
32,000480,0.06756966739397326
33,000490,0.4117433508049529
34,000500,0.3525846851938507
35,000520,0.10208928108466238
36,000540,0.2932145831078287
37,000545,0.4440028856450147
38,000547,-0.04197169283198973
39,000590,0.24780981086745155
40,000640,0.15465873249507686
41,000650,0.14411131567688035
42,000660,0.21700154233482416
43,000670,0.09818333567620526
44,000680,0.3534274504792007
45,000700,0.08218020328970417
46,000720,0.22126242953989148
47,000725,0.40566838107821385
48,000760,0.3109305314658874
49,000810,0.11020249353211412
50,000815,0.12447153984939867
51,000850,0.07743577514075387
52,000860,0.32678384725444876
53,000880,0.34909672837316036
54,000885,0.6168610475864548
55,00088K,0.1951886343279742
56,000890,0.2053878689183106
57,000910,0.7224411849232095
58,000950,0.626349109246958
59,000970,0.1331197753914372
60,000990,0.44514215703036564
61,000995,0.6412982914523205
62,001020,0.4643970588518848
63,001040,0.18076357503823917
64,001045,0.24962580908321938
65,00104K,0.24818775119500583
66,001060,0.030349571200219968
67,001065,0.3326880676063978
68,001067,0.4661656603809901
69,001070,0.32362617552666356
70,001080,0.28218220084653767
71,001120,0.5655462770352356
72,001130,0.1340778855784323
73,001140,0.24288987428799924
74,001200,0.39380878505443634
75,001210,0.10277474394029325
76,001230,0.6063845693097628
77,001250,0.31754209661711946
78,001260,0.2718887280814168
79,001270,0.14743912639610607
80,001275,0.13205658773660287
81,001290,0.051586454988773914
82,001340,0.3614162858096496
83,001360,0.23821981715337553
84,001380,0.5908191977691334
85,001390,0.431862145470149
86,001420,0.1428733894225899
87,001430,0.4242903493806802
88,001440,0.4420598880406153
89,001450,0.05702710090146605
90,001460,0.260026831064065
91,001465,0.20759485180261883
92,001470,0.8673722049771021
93,001500,0.2792807467628927
94,001510,0.29015740507552173
95,001515,0.5569742864070671
96,001520,0.17475807046592384
97,001525,0.2696307998978079
98,001527,0.3288763042016621
99,001530,0.5509791695944891
100,001550,0.2901029876561528
101,001560,0.19428425018991044
102,001570,0.4136293374939263
103,001620,0.2588243129956212
104,001630,0.05888841483445655
105,001680,0.18166514992425467
106,001685,0.21930945374569208
107,001720,0.09472295981699401
108,001725,0.08854369610913763
109,001740,0.11200320277090542
110,001745,0.39364456587340746
111,001750,0.3258087268801036
112,001755,0.6460412440247433
113,001770,0.21047705321945923
114,001780,0.5810561121217185
115,001790,0.2913943504245901
116,001795,0.378198127421216
117,001800,0.08294143797392753
118,001820,0.24285782347214807
119,001880,0.3934562467225995
120,001940,0.24673446734073243
121,002020,0.32792797258392137
122,002025,0.40701263049152364
123,002030,0.20947881979241262
124,002070,0.08460233069846147
125,002100,0.1959503954052537
126,002140,0.4012201096905359
127,002150,0.09540258527865644
128,002170,0.19255417003173778
129,002200,0.18798394065623467
130,002210,0.0957270009188061
131,002220,0.25687353138991986
132,002240,0.28583145131218096
133,002310,0.2745049727226275
134,002320,0.21745996055934835
135,002350,0.22911457134125301
136,002355,0.1868372587762957
137,002360,0.16675698240903972
138,002380,0.27982213324740857
139,002390,0.13420737345016454
140,002410,0.21652519844026713
141,002420,0.14471396073652634
142,002450,0.11033303922840527
143,002460,0.2239996943100961
144,002600,0.15377027799929469
145,002620,0.4241597698554107
146,002630,0.5734668146147547
147,002690,0.38206462180740447
148,002700,0.15388348145431618
149,002710,0.5925413174977915
150,002720,0.24677000866118798
151,002760,0.22056138863483785
152,002780,0.3064886588047006
153,002785,0.29981707111856587
154,002787,-0.015014242141215706
155,002790,0.09243676039260189
156,002795,0.12733462316125446
157,00279K,0.0791744014131387
158,002810,0.08236065556458419
159,002820,0.24026332214485668
160,002840,0.5103854796424812
161,002870,0.7400114452534104
162,002880,0.2508137923476725
163,002900,0.3059671066701356
164,002920,0.18269536210470846
165,002960,0.017136610997101863
166,002990,0.22511940396394378
167,002995,0.23286885038116692
168,003000,0.13021538268307406
169,003010,0.3721397528775563
170,003030,0.3571958330889644
171,003060,-0.047339570611140094
172,003070,0.5640861244922754
173,003075,0.4124698969226896
174,003080,0.25262258525304215
175,003090,0.6561855745090576
176,003120,0.013273840890261061
177,003160,0.4847003971921587
178,003200,0.31400949666213146
179,003220,0.1281590328604025
180,003230,0.0019997987115390825
181,003240,0.17679117574648118
182,003280,0.0
183,003300,0.27920087032733354
184,003350,0.1920452793064769
185,003410,0.19656023383635174
186,003460,0.08316594957390396
187,003465,0.08110372592651276
188,003470,0.26522115299911436
189,003475,0.3886389506764186
190,003480,0.20312819405381882
191,003490,0.3692916117016768
192,003495,0.689925459238486
193,003520,0.17890504078339647
194,003530,0.5200416905078298
195,003535,0.9353570455254152
196,003540,0.28177954779552855
197,003545,0.2623172345238051
