,종목코드,PER,PBR,EPS,BPS,DIV,DPS
525,011090,52.06,1.82,34,972,1.13,20
526,005850,6.45,0.78,3217,26519,1.25,260
527,012750,23.79,3.42,4157,28947,1.26,1250
528,023960,0.0,2.6,0,1154,0.0,0
529,078520,18.12,1.67,1043,11285,2.12,400
530,015260,8.04,0.66,97,1180,0.0,0
531,007460,92.52,6.52,147,2086,0.0,0
532,003060,0.0,4.28,0,994,0.0,0
533,036570,32.86,4.88,12783,85985,0.91,3820
534,138250,9.28,1.23,1493,11235,1.44,200
535,085310,0.0,1.1,0,2267,0.0,0
536,009810,0.0,0.64,0,873,0.0,0
537,014440,8.57,0.85,559,5657,2.09,100
538,111770,11.27,1.0,2489,28097,0.89,250
539,009970,9.22,0.87,5963,62909,0.91,500
540,003520,344.17,13.81,24,598,0.0,0
541,000670,9.72,0.62,94384,1478326,1.09,10000
542,006740,11.62,0.84,306,4252,1.27,45
543,012280,7.64,1.09,212,1488,1.85,30
544,012160,258.0,0.64,5,2012,2.33,30
545,015360,6.11,0.41,6941,102550,3.54,1500
546,007310,17.43,2.38,40839,299198,0.96,6800
547,002630,0.0,2.49,0,436,0.0,0
548,271560,0.0,0.0,0,0,0.0,0
549,001800,9.55,1.61,2868,16980,2.19,600
550,010600,0.0,1.26,0,2207,0.0,0
551,070960,23.21,0.91,324,8236,1.33,100
552,004720,34.48,3.46,364,3624,0.0,0
553,118000,0.0,5.02,0,729,0.0,0
554,000030,9.35,0.49,1567,30157,2.73,400
555,010050,13.02,1.78,48,352,0.0,0
556,006980,91.29,0.6,35,5360,0.78,25
557,017370,13.16,1.17,585,6575,0.39,30
558,105840,0.0,0.89,0,6129,4.04,220
559,049800,4.81,0.89,1480,7991,0.0,0
560,016880,0.0,0.58,0,4924,0.0,0
561,095720,10.03,0.87,696,8043,0.0,0
562,103130,0.0,1.77,0,3857,0.0,0
563,005820,6.53,0.6,3597,39175,2.13,500
564,008600,22.92,0.71,77,2482,0.0,0
565,033270,21.73,2.54,1277,10945,0.9,250
566,014830,9.02,0.72,5609,70614,2.17,1100
567,000910,457.22,0.51,9,8007,1.7,70
568,047400,16.82,1.14,159,2355,1.31,35
569,011330,41.25,2.66,36,558,0.0,0
570,077500,49.75,1.21,162,6639,0.99,80
571,002920,9.8,0.33,342,10108,3.58,120
572,000700,23.21,0.9,312,8024,0.69,50
573,003470,29.44,0.92,152,4860,0.0,0
574,003475,0.0,0.0,0,0,0.0,0
575,011690,0.0,6.11,0,1277,0.0,0
576,072130,0.0,1.13,0,3538,0.0,0
577,000220,18.29,1.74,987,10345,1.0,180
578,000225,0.0,0.0,0,0,2.22,190
579,000227,0.0,0.0,0,0,0.92,190
580,001200,7.52,0.52,475,6859,0.0,0
581,000100,15.4,1.84,14414,120611,0.9,2000
582,000105,0.0,0.0,0,0,1.08,2050
583,003460,24.58,0.47,592,30841,5.84,850
584,003465,0.0,0.0,0,0,6.36,900
585,008730,19.08,1.24,844,12951,3.11,500
586,008250,147.06,0.58,68,17104,1.5,150
587,025820,17.19,0.77,135,3020,2.16,50
588,214320,19.5,1.95,3267,32728,1.49,950
589,139480,20.26,0.99,13502,276088,0.55,1500
590,007660,40.7,0.79,93,4789,2.64,100
591,005950,15.28,0.63,792,19286,4.13,500
592,015020,0.0,0.77,0,1002,0.0,0
593,093230,0.0,0.97,0,384,0.0,0
594,102460,36.42,2.22,703,11539,1.37,350
595,084680,80.87,1.31,23,1415,0.0,0
596,000760,214.74,0.52,95,39405,0.0,0
597,014990,0.0,2.22,0,1114,0.0,0
598,006490,0.0,24.58,0,391,0.0,0
599,023800,10.34,0.56,700,13004,1.38,100
600,034590,14.35,0.8,2084,37218,4.18,1250
601,129260,12.61,0.53,280,6628,3.4,120
602,023810,5.17,0.45,933,10724,3.11,150
603,249420,42.91,2.01,585,12470,1.2,300
604,000230,0.96,1.03,15624,14507,1.0,150
605,013360,29.63,0.67,41,1805,1.65,20
606,013367,0.0,0.0,0,0,0.69,25
607,003120,52.12,0.97,2245,120339,0.64,750
608,003200,12.67,0.38,8484,282207,2.6,2800
609,007110,0.0,2.33,0,649,0.0,0
610,007570,124.46,3.95,325,10241,0.25,100
611,007575,0.0,0.0,0,0,0.5,125
612,008500,8.14,0.44,2640,49084,5.81,1250
613,081000,65.74,3.61,413,7520,0.37,100
614,020760,0.0,2.67,0,2254,0.0,0
615,020150,38.41,5.27,971,7072,0.13,50
616,103590,128.42,0.57,38,8627,1.23,60
617,015860,0.0,0.89,0,5692,0.6,30
618,226320,20.23,3.49,3357,19446,1.03,701
619,033240,19.38,1.11,877,15348,2.35,400
620,000950,0.0,0.21,0,96215,0.0,0
621,194370,19.78,1.41,829,11641,1.52,250
622,025620,23.97,5.17,876,4065,0.0,0
623,030000,20.67,2.71,871,6632,1.67,300
624,271980,0.0,0.0,0,0,0.0,0
625,001560,9.45,0.84,622,7028,2.72,160
626,002620,45.57,1.68,700,18939,0.22,70
627,006220,6.07,0.45,1137,15168,1.45,100
628,089590,23.13,4.55,2036,10342,1.06,500
629,004910,5.16,0.62,1733,14317,4.47,400
630,004700,6.58,1.26,5892,30856,0.26,100
631,001550,68.31,1.7,213,8562,0.0,0
632,000480,20.34,0.62,4170,135716,4.13,3500
633,120030,6.33,1.07,11798,69878,2.01,1500
634,018470,2.33,0.39,476,2835,1.35,15
635,002600,16.85,1.21,13533,188612,2.19,5000
636,185750,30.66,3.55,4159,35962,0.71,900
637,063160,13.3,0.95,1839,25847,1.64,400
638,001630,10.87,1.0,6630,71928,1.94,1400
639,044380,31.82,1.08,17,501,0.0,0
640,013870,9.59,0.84,1024,11628,1.53,150
641,071320,7.69,0.54,10943,155889,4.51,3800
642,010580,0.0,2.1,0,401,0.0,0
643,035000,9.43,0.99,922,8817,2.88,250
644,088790,8.19,0.71,667,7668,3.66,200
645,003780,28.11,1.06,103,2726,6.04,175
646,010640,2.48,0.99,701,1764,0.0,0
647,100250,9.12,0.51,301,5394,5.1,140
648,051630,22.8,0.97,109,2549,3.02,75
649,272450,21.38,10.79,1457,2886,1.61,500
650,011000,0.0,3.33,0,2040,0.0,0
651,002780,0.0,0.0,0,0,0.0,0
652,002787,0.0,0.0,0,0,0.0,0
653,002785,0.0,0.0,0,0,0.0,0
654,009310,17.89,2.78,135,868,0.0,0
655,000650,51.11,3.29,1751,27186,8.94,8000
656,012600,0.0,0.82,0,3569,0.0,0
657,033250,0.0,0.75,0,1227,0.0,0
658,035720,150.51,2.59,877,50965,0.11,148
659,006380,0.0,1.56,0,6298,0.0,0
660,029460,11.84,1.88,1959,12362,0.65,150
661,281820,0.0,0.0,0,0,0.0,0
662,058860,9.49,0.62,295,4520,2.86,80
663,007815,0.0,0.0,0,0,2.62,105
664,007810,0.0,0.69,0,12727,1.15,100
665,00781K,0.0,0.0,0,0,2.23,105
666,152330,7.73,1.17,2110,13964,2.45,400
667,003690,8.7,0.65,1304,17543,2.86,325
668,192820,36.96,6.79,3855,20990,0.7,1000
669,044820,21.13,1.12,1607,30219,0.59,200
670,005070,185.87,5.02,92,3407,0.0,0
671,005420,0.0,4.68,0,5561,0.0,0
672,071950,0.0,2.03,0,797,0.0,0
673,002020,32.32,1.1,1553,45691,1.0,500
674,003070,27.08,0.48,367,20573,1.51,150
675,003075,0.0,0.0,0,0,2.32,350
