,종목코드,종목명,PER,PBR,시가총액
129,035460,기산텔레콤,12.62,1.33,42493.0
130,308100,까스텔바작,12.33,1.15,88066.0
131,187790,나노,84.17,0.78,39084.0
132,286750,나노브릭,0.0,6.2,87782.0
133,151910,나노스,0.0,21.34,1065644.0
134,121600,나노신소재,52.13,3.28,305923.0
135,247660,나노씨엠에스,0.0,23.47,74077.0
136,039860,나노엔텍,32.47,4.6,190522.0
137,091970,나노캠텍,0.0,0.95,61075.0
138,051490,나라엠앤디,127.18,1.77,140864.0
139,190510,나무가,0.0,3.28,72834.0
140,242040,나무기술,21.37,4.73,90722.0
141,089600,나스미디어,19.11,2.79,360693.0
142,293580,나우IB,34.13,1.43,100962.0
143,138610,나이벡,0.0,12.99,356012.0
144,130580,나이스디앤비,14.72,2.85,155540.0
145,036800,나이스정보통신,9.65,1.35,310000.0
146,267320,나인테크,0.0,0.0,177284.0
147,111710,남화산업,64.6,1.48,199498.0
148,091590,남화토건,25.24,0.95,125618.0
149,168330,내츄럴엔도텍,0.0,2.5,52181.0
150,094860,네오리진,0.0,10.28,112407.0
151,253590,네오셈,0.0,3.53,132454.0
152,212560,네오오토,26.94,0.85,67252.0
153,095660,네오위즈,20.65,1.59,515589.0
154,042420,네오위즈홀딩스,14.35,0.99,321504.0
155,311390,네오크레마,47.8,1.51,57357.0
156,085910,네오티스,29.85,1.04,50321.0
157,092730,네오팜,13.05,2.61,275357.0
158,290660,네오펙트,0.0,3.36,57664.0
159,306620,네온테크,1030.0,2.26,153295.0
160,153460,네이블,0.0,1.69,40486.0
161,007390,네이처셀,623.13,7.45,611225.0
162,033640,네패스,27.98,4.17,870485.0
163,330860,네패스아크,57.86,11.39,476045.0
164,089140,넥스턴,32.37,2.06,206722.0
165,065170,넥스트BT,0.0,1.87,119185.0
166,137940,넥스트아이,0.0,1.3,102950.0
167,348210,넥스틴,0.0,412.78,710561.0
168,041140,넥슨지티,161.18,4.51,484615.0
169,217270,넵튠,0.0,9.1,849234.0
170,225570,넷게임즈,0.0,10.02,382275.0
171,104620,노랑풍선,0.0,2.06,115805.0
172,194700,노바렉스,21.89,3.97,364651.0
173,285490,노바텍,70.8,13.67,391172.0
174,278650,노터스,39.92,4.65,197723.0
175,144510,녹십자랩셀,0.0,24.32,1071236.0
176,031390,녹십자셀,45.18,5.97,528807.0
177,142280,녹십자엠에스,0.0,4.23,209906.0
178,234690,녹십자웰빙,31.38,2.68,222791.0
179,065560,녹원씨엔아이,0.0,1.31,99594.0
180,054050,농우바이오,28.78,0.87,201184.0
181,040160,누리텔레콤,9.36,1.26,85835.0
182,069140,누리플랜,0.0,1.71,52276.0
183,126870,뉴로스,0.0,0.81,79476.0
184,060260,뉴보텍,22.58,1.8,49816.0
185,012340,뉴인텍,0.0,4.18,112817.0
186,214870,뉴지랩,0.0,3.95,319966.0
187,270870,뉴트리,27.79,4.63,267473.0
188,144960,뉴파워프라즈마,46.59,1.92,274827.0
189,085670,뉴프렉스,0.0,0.8,40341.0
190,119860,다나와,18.33,3.98,436699.0
191,064260,다날,19.59,2.68,586067.0
192,093640,다믈멀티미디어,57.36,1.55,39948.0
193,039560,다산네트웍스,202.94,2.07,363182.0
194,032190,다우데이타,7.18,0.81,490240.0
195,068240,다원시스,117.42,2.41,492572.0
196,020400,대동금속,0.0,0.71,27896.0
197,008830,대동기어,0.0,0.64,36759.0
198,048470,대동스틸,174.38,0.91,55800.0
199,004780,대륙제관,17.45,0.88,93511.0
200,017650,대림제지,48.57,0.8,122400.0
201,007720,대명소노시즌,2.3,0.89,146665.0
202,317850,대모,21.83,0.98,42704.0
203,290670,대보마그네틱,54.13,5.89,238081.0
204,078140,대봉엘에스,19.54,1.39,111974.0
205,036480,대성미생물,25.67,2.08,73150.0
206,025440,대성엘텍,0.0,3.41,133045.0
207,027830,대성창투,0.0,3.11,155600.0
208,104040,대성파인텍,70.64,1.63,86235.0
209,332290,대신밸런스제7호스팩,0.0,0.0,10931.0
210,336570,대신밸런스제8호스팩,0.0,0.0,11725.0
211,369370,대신밸런스제9호스팩,0.0,0.0,8862.0
212,020180,대신정보통신,50.26,2.89,75321.0
213,045390,대아티아이,172.67,3.9,368565.0
214,108380,대양전기공업,12.63,0.78,161210.0
215,006580,대양제지,3.05,0.65,87531.0
216,007680,대원,11.36,0.38,116480.0
217,048910,대원미디어,246.67,3.56,279253.0
218,005710,대원산업,3.88,0.49,151685.0
219,290380,대유,26.7,2.07,136944.0
220,290120,대유에이피,9.55,1.63,76193.0
221,120240,대정화금,29.94,1.5,184074.0
222,003310,대주산업,42.06,1.46,75917.0
223,078600,대주전자재료,0.0,7.87,637818.0
224,096350,대창솔루션,0.0,1.12,75821.0
225,140520,대창스틸,0.0,0.62,58400.0
226,131220,대한과학,76.67,3.34,94299.0
227,010170,대한광통신,0.0,1.36,244822.0
228,060900,대한그린파워,0.0,13.62,392415.0
229,054670,대한뉴팜,10.41,2.66,162211.0
230,023910,대한약품,7.75,1.31,218400.0
231,021040,대호피앤씨,81.4,0.87,59514.0
232,021045,대호피앤씨우,0.0,0.0,5473.0
233,067080,대화제약,19.67,2.71,219676.0
234,298540,더네이쳐홀딩스,16.55,4.3,381070.0
235,299170,더블유에스아이,0.0,0.0,81720.0
