,종목코드,코스피 일별변동 표준편차,연간 수익률,1년_만기_국채수익률,코스피 샤프지수
0,000020,5.28461012834131,116.56534954407294,0.984,21.871310605149727
1,000040,5.407983040824467,119.16666666666667,0.984,21.853372278447324
2,000050,3.496648438977314,65.0,0.984,18.307817076035004
3,000060,2.1268877478545103,61.25000000000001,0.984,28.33529887075286
4,000070,3.32838182068896,126.60217654171706,0.984,37.74151624098063
5,000075,3.835592554325324,97.7124183006536,0.984,25.218637519664288
6,000080,2.2291283804474906,36.734693877551024,0.984,16.037969903902162
7,000087,1.8490151055357031,55.00000000000001,0.984,29.21339032779308
8,000100,2.5293874933430636,46.62694552529183,0.984,18.045058594389605
9,000105,3.2057644560441623,46.54014449984736,0.984,14.210696114605552
10,000120,2.172366881108979,42.96875,0.984,19.32673084141619
11,000140,2.2758981400783256,66.17647058823529,0.984,28.644722468111723
12,000145,2.4723883202968877,44.285714285714285,0.984,17.514123461202306
13,000150,3.829070443029881,42.714285714285715,0.984,10.898281014977938
14,000155,3.6153819814875763,21.472392638036812,0.984,5.667006347585632
15,000157,6.959104490829636,80.95238095238095,0.984,11.491188421981498
16,000180,2.9897573614091577,90.4,0.984,29.90744371237394
17,000210,3.33955673572859,42.1931877275091,0.984,12.339717809441108
18,000215,2.8401761216879753,68.19454566376434,0.984,23.664217564021957
19,000220,4.368188352131188,71.51492255383452,0.984,16.146492977900852
20,000225,6.292450375493099,168.0597014925373,0.984,26.55177101487187
21,000227,6.5755516081567755,166.2508994962821,0.984,25.13354154064785
22,000230,2.4665988350549415,89.56406869220608,0.984,35.91182620915858
23,000240,4.433448430380333,115.11627906976744,0.984,25.743454753566706
24,000270,3.2598960187381953,224.4618395303327,0.984,68.55367111274734
25,000300,3.5241450382913317,30.81967213114754,0.984,8.466073844001963
26,000320,1.5168876561975106,67.1001300390117,0.984,43.58670186871299
27,000325,2.23312656428374,13.194444444444445,0.984,5.467869416689717
28,000370,3.453089513998418,201.23456790123458,0.984,57.9917106375153
29,000390,5.1087116405011725,176.8729641693811,0.984,34.42922140583494
30,000400,2.5289417907321488,45.8498023715415,0.984,17.740939129544966
31,000430,2.5627607426211925,71.1281070745698,0.984,27.370525038879123
32,000480,1.261004490631308,16.619318181818183,0.984,12.399097939762715
33,000490,2.99182166662543,153.78787878787878,0.984,51.073859278595
34,000500,3.0715835599762733,116.18468205683807,0.984,37.505306239407
35,000520,2.7494465704296696,20.783132530120483,0.984,7.201133763812829
36,000540,3.1722660399075826,93.63207547169812,0.984,29.205644894271614
37,000545,7.03329955010552,77.491961414791,0.984,10.877961456034269
38,000547,4.886949878876369,-28.771929824561404,0.984,-6.088855126830774
39,000590,3.490341075550011,50.05834305717619,0.984,14.060042269491674
40,000640,2.89822080233344,31.5468940316687,0.984,10.545398751903804
41,000650,2.873873566171476,29.78723404255319,0.984,10.022443012663343
42,000660,2.3903329995155325,69.00510204081633,0.984,28.45674726266286
43,000670,1.8662227133699578,26.521739130434785,0.984,13.684186216081175
44,000680,4.146519988170452,89.26174496644296,0.984,21.289598318177482
45,000700,1.7191487710027193,17.863720073664823,0.984,9.818649996078856
46,000720,2.4120081591553215,70.73258176313588,0.984,28.917224636404896
47,000725,6.2735338305822905,80.9412272653678,0.984,12.745165551764693
48,000760,2.67826927362219,100.42735042735043,0.984,37.12970589131973
49,000810,2.254232499376168,26.666666666666668,0.984,11.393086859396288
50,000815,1.5873499794773276,31.69642857142857,0.984,19.348240128834952
51,000850,1.196177054267922,22.22222222222222,0.984,17.755082449078014
52,000860,1.965908099633296,112.98245614035088,0.984,56.970341676318505
53,000880,3.2695251453382443,109.53947368421053,0.984,33.20221403985565
54,000885,7.441042070339736,145.7142857142857,0.984,19.450271124146155
55,00088K,1.9117817887667428,56.31808278867102,0.984,28.943723135037327
56,000890,2.630712334877919,48.88010540184453,0.984,18.206515690385128
57,000910,6.2380495340970485,294.60674157303373,0.984,47.069639310829125
58,000950,5.386258390401603,242.54385964912282,0.984,44.84743251077339
59,000970,1.9402941863657908,32.285714285714285,0.984,16.132457905439075
60,000990,3.39170174592923,169.377990430622,0.984,49.648820281067145
61,000995,7.006377423425176,177.62803234501348,0.984,25.21189220472486
62,001020,5.479554468529894,130.80808080808083,0.984,23.6924519235432
63,001040,2.3844462059973917,51.12540192926045,0.984,21.02853140622091
64,001045,2.1450926592991224,76.21283255086072,0.984,35.07020185106626
65,00104K,2.0514187618290856,79.35174069627851,0.984,38.20172758213651
66,001060,2.957813684361271,5.144295669305703,0.984,1.4065441955665654
67,001065,6.739996580109851,40.740579773132254,0.984,5.898605333192066
68,001067,7.09561302961892,83.81619846343324,0.984,11.6737198206371
69,001070,1.424045034029241,119.5710455764075,0.984,83.27478607953383
70,001080,2.822996987667428,84.0909090909091,0.984,29.439248236526904
71,001120,3.5063571627219883,258.830146231721,0.984,73.53676030868311
72,001130,2.222920979609615,18.0,0.984,7.654793020572559
73,001140,4.576484856162458,44.336569579288025,0.984,9.472896981383363
