회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원)
(주)대현,016090,2020/12,253198946
(주)대호에이엘,069460,2020/12,121426442
(주)대호특수강,021040,2020/12,141665479
(주)더 미동,161570,2020/12,26280773
(주)더네이쳐홀딩스,298540,2020/12,290419789
(주)더블유게임즈,192080,2020/12,238873234
(주)더블유아이,073570,2020/12,25375540
(주)더블유에스아이,299170,2020/12,26097617
(주)더존비즈온,012510,2020/12,303185154
(주)더코디,224060,2020/12,27963850
(주)덕산테코피아,317330,2020/12,78379152
(주)덕성,004830,2020/12,107264884
(주)덕신하우징,090410,2020/12,119512159
(주)데이타솔루션,263800,2020/12,92734563
(주)덱스터스튜디오,206560,2020/12,24094571
(주)덴티스,261200,2020/12,41479000
(주)덴티움,145720,2020/12,178843414
(주)도화엔지니어링,002150,2020/12,609393391
(주)동구바이오제약,006620,2020/12,139215814
(주)동국알앤에스,075970,2020/12,63878507
(주)동국에스엔씨,100130,2020/12,161229429
(주)동남합성,023450,2020/12,124928328
(주)동방,004140,2020/12,555088411
(주)동방선기,099410,2020/12,21554995
(주)동방아그로,007590,2020/12,128960896
(주)동서,026960,2020/12,441093215
(주)동성케미컬,102260,2020/12,212657671
(주)동성화인텍,033500,2020/12,387128790
(주)동아엘텍,088130,2020/12,89154531
(주)동아지질,028100,2020/12,314647747
(주)동양,001520,2020/12,444361324
(주)동양고속,084670,2020/12,83398986
(주)동양에스텍,060380,2020/12,136641986
(주)동우팜투테이블,088910,2020/12,276146582
(주)동운아나텍,094170,2020/12,70719106
(주)동원개발,013120,2020/12,630615658
(주)동원에프앤비,049770,2020/12,1781268266
(주)동일기연,032960,2020/12,24725928
(주)동진쎄미켐,005290,2020/12,679978836
(주)두산,000150,2020/12,1549335936
(주)두산테스나,131970,2020/12,132518902
(주)두올,016740,2020/12,236980269
(주)듀오백,073190,2020/12,43211585
(주)드래곤플라이,030350,2020/12,4169240
(주)드림시큐리티,203650,2020/12,24874760
(주)드림씨아이에스,223250,2020/12,23489322
(주)드림어스컴퍼니,060570,2020/12,221815310
(주)드림텍,192650,2020/12,401396072
(주)디딤,217620,2020/12,78228967
(주)디모아,016670,2020/12,4890555
(주)디바이스이엔지,187870,2020/12,126172727
(주)디비아이엔씨,012030,2020/12,224893354
(주)디스플레이테크,066670,2020/12,36225203
(주)디아이,003160,2020/12,101864284
(주)디아이씨,092200,2020/12,351403612
(주)디아크,078590,2020/12,37467855
(주)디알비동일,004840,2020/12,108822399
(주)디알젬,263690,2020/12,105933483
(주)디알텍,214680,2020/12,47663845
(주)디앤씨미디어,263720,2020/12,55063661
(주)디어유,376300,2020/12,13047733
(주)디에스앤엘,141020,2020/12,0
(주)디에스케이,109740,2020/12,32090737
(주)디에이테크놀로지,196490,2020/12,33373145
(주)디에이피,066900,2020/12,301339709
(주)디엔에이링크,127120,2020/12,13812934
(주)디엔에프,092070,2020/12,83155225
(주)디엔오토모티브,007340,2020/12,167727790
(주)디엠에스,068790,2020/12,223494762
(주)디오,039840,2020/12,77005576
(주)디와이디,219550,2020/12,30388158
(주)디이엔티,079810,2020/12,22807840
(주)디지아이,043360,2020/12,15466089
(주)디지캡,197140,2020/12,15675193
(주)디지털대성,068930,2020/12,100643066
(주)디지틀조선일보,033130,2020/12,28389383
(주)디케이앤디,263020,2020/12,37512328
(주)디케이티,290550,2020/12,134497053
(주)디티앤씨,187220,2020/12,43482580
(주)딜리,131180,2020/12,27574173
(주)딥노이드,315640,2020/12,1039945
(주)라닉스,317120,2020/12,9127006
(주)라온테크,232680,2020/12,18399628
(주)라이온켐텍,171120,2020/12,132570839
(주)라이트론,069540,2020/12,17240472
(주)라이프시맨틱스,347700,2020/12,2665429
(주)라파스,214260,2020/12,14810931
(주)락앤락,115390,2020/12,213217340
(주)래몽래인,200350,2020/12,34649031
(주)랩지노믹스,084650,2020/12,119368629
(주)러셀,217500,2020/12,29129701
(주)레고켐바이오사이언스,141080,2020/12,49393702
(주)레드캡투어,038390,2020/12,223607042
(주)레몬,294140,2020/12,80146793
(주)레이,228670,2020/12,47098331
(주)레이언스,228850,2020/12,87104380
(주)레이크머티리얼즈,281740,2020/12,46500976
(주)레인보우로보틱스,277810,2020/12,5426967
(주)로보로보,215100,2020/12,4386164
(주)로보스타,090360,2020/12,130207961
(주)로보티즈,108490,2020/12,17014598
(주)로지시스,067730,2020/12,32853347
(주)루닛,328130,2020/12,1430042
(주)루멘스,038060,2020/12,135925054
(주)루트로닉,085370,2020/12,91877576
(주)룽투코리아,060240,2020/12,51380810
(주)리노스,039980,2020/12,85635009
(주)리더스코스메틱,016100,2020/12,32439834
(주)리드코프,012700,2020/12,321046580
(주)리메드,302550,2020/12,16633019
(주)리파인,377450,2020/12,54163513
(주)링네트,042500,2020/12,146692148
(주)링크제니시스,219420,2020/12,12855273
(주)마니커,027740,2020/12,215406025
(주)마니커에프앤지,195500,2020/12,92297704
(주)마이크로디지탈,305090,2020/12,2290187
(주)마이크로컨텍솔루션,098120,2020/12,38530109
(주)마이크로프랜드,147760,2020/12,51025387
(주)마인즈랩,377480,2020/12,8285546
(주)마크로젠,038290,2020/12,90534090
(주)매직마이크로,127160,2020/12,17121982
(주)매커스,093520,2020/12,80180784
(주)맥스트,377030,2020/12,1982672
(주)머큐리,100590,2020/12,117810009
(주)멀티캠퍼스,067280,2020/12,250840574
(주)메드팩토,235980,2020/12,0
(주)메디아나,041920,2020/12,67137354
(주)메디콕스,054180,2020/12,16190178
(주)메디톡스,086900,2020/12,123329298
