종목코드,종목명,종가,등락률,거래량,거래대금,시가총액,상장주식수
51915,LG화학우,384000,1.59,21339,8152692500,2.9525E+12,7688800
79550,LIG넥스원,40150,2.69,236950,9515305400,8.833E+11,22000000
6260,LS,68500,0.74,141948,9647864700,2.2057E+12,32200000
10120,LS ELECTRIC,60900,0,87714,5336418100,1.827E+12,30000000
680,LS네트웍스,2820,0.18,84076,237443170,2.22225E+11,78803016
229640,LS전선아시아,7820,0.13,486815,3848873710,2.39487E+11,30624879
23150,MH에탄올,8710,-0.68,211761,1878257470,64266961460,7378526
35420,NAVER,377000,0.13,568103,2.15458E+11,6.19273E+13,164263395
181710,NHN,72500,-0.14,57231,4135636800,1.41846E+12,19565025
5940,NH투자증권,11650,2.19,1145988,13304505250,3.27841E+12,281408887
5945,NH투자증권우,9540,2.58,273826,2602197660,1.80029E+11,18870968
338100,NH프라임리츠,4395,-0.11,56528,248100995,82010700000,18660000
34310,NICE,17100,-1.44,75472,1290714600,6.47787E+11,37882300
8260,NI스틸,3610,3.29,869129,3096705545,1.03246E+11,28600117
4250,NPC,4175,-0.24,211916,878017615,1.53306E+11,36720000
4255,NPC우,2320,-1.07,28238,65453985,12249600000,5280000
10060,OCI,121500,2.97,497074,60793967000,2.8977E+12,23849371
5490,POSCO,320000,-0.78,467942,1.50535E+11,2.78998E+13,87186835
10950,S-Oil,81200,-1.69,296568,24079564100,9.14172E+12,112582792
10955,S-Oil우,46000,-1.08,10307,475089100,1.85009E+11,4021927
34120,SBS,22700,4.85,258487,5753927000,4.14334E+11,18252582
101060,SBS미디어홀딩스,2025,6.02,3164326,6413323165,2.8329E+11,139896190
5090,SGC에너지,39600,-0.13,52764,2087223700,5.81209E+11,14677004
4060,SG세계물산,743,1.78,5771261,4291534659,1.50402E+11,202424960
1380,SG충방,3200,12.68,39721392,1.26828E+11,1.43885E+11,44964143
2360,SH에너지화학,940,0.11,932855,875914554,1.04466E+11,111133730
9160,SIMPAC,3240,0.47,76645,245382520,2.11992E+11,65429516
123700,SJM,4095,-1.21,21870,89679055,63902057310,15604898
25530,SJM홀딩스,3615,0.14,20389,73468120,53986438920,14934008
34730,SK,282000,0.36,336019,94822041500,1.98416E+13,70360297
11790,SKC,128500,-0.39,220423,28281793500,4.86608E+12,37868298
18670,SK가스,106500,0,30846,3274025500,9.83021E+11,9230244
1740,SK네트웍스,5630,1.44,1075986,6030614480,1.3973E+12,248187647
1745,SK네트웍스우,109000,0,345,37457500,12387632000,113648
6120,SK디스커버리,60800,-1.62,77212,4703592500,1.1575E+12,19037855
6125,SK디스커버리우,43700,-2.78,22487,993651000,59364483500,1358455
210980,SK디앤디,38650,-0.26,55538,2143191850,7.3397E+11,18990164
68400,SK렌터카,10700,0.94,118606,1266908900,5.05958E+11,47285840
302440,SK바이오사이언스,120500,-4.74,1016714,1.23534E+11,9.21825E+12,76500000
326030,SK바이오팜,103000,-0.96,675835,71191783000,8.06626E+12,78313250
03473K,SK우,260000,-0.38,4528,1176259500,1.47195E+11,566135
96770,SK이노베이션,219000,-1.79,834713,1.83021E+11,2.025E+13,92465564
96775,SK이노베이션우,158000,-1.86,12759,2021861500,1.97251E+11,1248426
1510,SK증권,882,0.46,22659119,20321118061,4.16825E+11,472590171
1515,SK증권우,4940,6.58,93961,452156470,19327819160,3912514
285130,SK케미칼,250500,-3.84,252667,64311490500,2.94122E+12,11741396
28513K,SK케미칼우,116000,-4.13,29542,3472390000,1.69206E+11,1458670
17670,SK텔레콤,275000,2.42,456598,1.25799E+11,2.22051E+13,80745711
660,SK하이닉스,132500,-1.49,3309680,4.41277E+11,9.64603E+13,728002365
64960,SNT모티브,62100,0.49,43770,2691588300,9.08097E+11,14623136
100840,SNT에너지,17700,-0.28,12328,217322050,1.32869E+11,7506711
3570,SNT중공업,7500,-1.45,28108,211759980,2.49395E+11,33252697
36530,SNT홀딩스,18550,-1.59,23180,433162950,3.02437E+11,16303886
5610,SPC삼립,72500,-1.23,28027,2053685200,6.25603E+11,8629009
11810,STX,6050,-0.49,59085,356677980,1.19348E+11,19726902
77970,STX엔진,7980,-0.25,202423,1633728990,1.83611E+11,23008904
71970,STX중공업,4355,0,608465,2656586130,1.23534E+11,28365976
84870,TBH글로벌,1925,1.32,133072,255667440,40149376575,20856819
2710,TCC스틸,4510,-0.55,160660,726175455,1.0373E+11,23000000
24070,WISCOM,3695,5.12,376425,1381201540,56631188410,15326438
37270,YG PLUS,5540,-0.36,472164,2627602500,3.51237E+11,63400100
500,가온전선,30050,0.67,245397,7229739600,1.25018E+11,4160347
860,강남제비스코,30350,10.36,266966,7906075000,1.97275E+11,6500000
35250,강원랜드,25300,-0.59,731140,18521367400,5.41269E+12,213940500
11420,갤럭시아에스엠,1790,-0.56,307735,543340425,49313862760,27549644
2100,경농,13600,-1.45,78724,1075142200,2.95008E+11,21691750
9450,경동나비엔,50900,-0.2,36673,1862744700,6.92481E+11,13604730
267290,경동도시가스,19650,0.51,11450,225221600,1.15845E+11,5895406
12320,경동인베스트,40600,1.5,16733,680971950,96019933800,2365023
50,경방,13200,1.54,22671,297477750,3.61882E+11,27415270
214390,경보제약,12150,0.83,177704,2159645650,2.90468E+11,23906860
12610,경인양행,6680,-0.15,124510,832254410,2.76795E+11,41436365
9140,경인전자,29600,3.68,20403,599264250,46495591200,1570797
13580,계룡건설,31700,3.26,74237,2320389000,2.8311E+11,8930907
12200,계양전기,4325,0,200660,868595460,1.40995E+11,32600000
12205,계양전기우,6950,0.58,6557,45094220,9730000000,1400000
2140,고려산업,4250,2.29,327915,1384107430,1.05993E+11,24939425
10130,고려아연,408500,0.49,41692,16997632000,7.7084E+12,18870000
2240,고려제강,21500,14.06,1077392,22506934200,4.945E+11,23000000
9290,광동제약,8570,1.42,143101,1217011860,4.49247E+11,52420851
17040,광명전기,2405,-1.23,337450,816836535,1.04227E+11,43337615
17900,광전자,2375,0,216340,511081820,1.37616E+11,57943763
37710,광주신세계,169500,-0.59,1692,288270000,2.712E+11,1600000
30610,교보증권,7890,1.68,380299,3001976700,5.10115E+11,64653296
339770,교촌에프앤비,18050,-0.55,78696,1426180650,4.50935E+11,24982540
7690,국도화학,68900,0.15,24435,1686060400,4.00351E+11,5810616
5320,국동,4075,-2.86,1133252,4595351825,1.72586E+11,42352414
1140,국보,2230,-1.98,474542,1062326295,1.13362E+11,50834861
2720,국제약품,7570,-0.26,75968,578084680,1.4592E+11,19276090
83420,그린케미칼,13950,0.36,752008,10493347200,3.348E+11,24000000
14530,극동유화,6090,-8.56,5246770,32653135730,2.12355E+11,34869420
14280,금강공업,6140,7.16,619455,3712141910,1.78192E+11,29021513
14285,금강공업우,11950,1.27,7168,83536750,7049006250,589875
8870,금비,67700,-0.29,1649,111607300,67700000000,1000000
1570,금양,4300,-3.37,447705,1948143640,2.05605E+11,47815112
2990,금호산업,9820,1.03,298913,2924859390,3.59745E+11,36633924
2995,금호산업우,31650,-0.16,632,20052600,9250218900,292266
11780,금호석유,265000,2.91,637875,1.67555E+11,8.07394E+12,30467691
11785,금호석유우,116000,3.57,115661,13299252000,3.50724E+11,3023486
214330,금호에이치티,2240,-1.1,1406884,3164840705,2.80577E+11,125257661
1210,금호전기,2630,-0.38,32444,85057945,31512186600,11981820
73240,금호타이어,3810,-0.52,489795,1858354550,1.09446E+12,287260287
92440,기신정기,5990,-1.32,4448812,28098639830,1.74908E+11,29200000
270,기아차,82900,-1.66,3145247,2.6335E+11,3.36046E+13,405363347
24110,기업은행,9160,0.22,2793161,25605189820,6.76617E+12,738664360
13700,까뮤이앤씨,2195,-0.68,1555963,3403456925,99109254600,45152280
4540,깨끗한나라,7770,-8.05,4791506,36523447240,2.8936E+11,37240693
4545,깨끗한나라우,39900,-2.56,157764,5676607000,14609784000,366160
1260,남광토건,13900,0,54822,761941050,1.36622E+11,9828901
8350,남선알미늄,3930,1.42,1689795,6627812150,4.33004E+11,110179090
8355,남선알미우,37300,0.81,1652,60882850,11484297000,307890
4270,남성,3970,-2.34,636011,2539711390,1.43762E+11,36212160
3920,남양유업,303000,0.66,3673,1112725000,2.1816E+11,720000
3925,남양유업우,172000,-0.58,34,5838500,28665864000,166662
25860,남해화학,9000,0.22,265432,2380288290,4.4711E+11,49678843
5720,넥센,4705,0.86,105618,498730665,2.51924E+11,53543977
5725,넥센우,2980,1.36,11417,33762620,10729788000,3600600
2350,넥센타이어,7600,0.26,289806,2194094630,7.42276E+11,97667877
2355,넥센타이어1우B,2960,0.51,3639,10741980,19240000000,6500000
3580,넥스트사이언스,7700,11.92,7010746,52221493460,2.53609E+11,32936179
251270,넷마블,129000,1.57,199833,25631225000,1.10863E+13,85940234
90350,노루페인트,11000,0.92,2843551,32264848700,2.2E+11,20000000
90355,노루페인트우,12650,-1.56,9517,120688550,5858543900,463126
320,노루홀딩스,12850,5.33,262747,3307413950,1.70791E+11,13291151
325,노루홀딩스우,16300,0.93,959,15552100,3019575000,185250
6280,녹십자,360500,-2.17,54157,19641938000,4.213E+12,11686538
5250,녹십자홀딩스,34850,-1.69,163123,5706197000,1.63893E+12,47028210
5257,녹십자홀딩스2우,88000,0,1431,125433000,74447120000,845990
4370,농심,283500,-0.87,24749,7034134000,1.72443E+12,6082642
72710,농심홀딩스,75900,-0.13,4610,349850000,3.52008E+11,4637790
58730,다스코,5120,0.99,82194,421501030,78848000000,15400000
23590,다우기술,27050,1.31,234633,6343437350,1.21364E+12,44866617
19680,대교,4295,0.7,5770410,26123298080,3.63799E+11,84702850
19685,대교우B,2630,0.38,190064,507810035,51092983700,19426990
6370,대구백화점,10200,-1.92,15086,152947050,1.1038E+11,10821611
8060,대덕,6890,0.15,123775,852386400,2.33503E+11,33890150
00806K,대덕1우,7800,0,7904,61537610,9456384600,1212357
353200,대덕전자,14000,1.08,523368,7335694450,6.91837E+11,49416925
35320K,대덕전자1우,9050,-0.55,13242,119885530,18964446950,2095519
490,대동공업,10050,0,361729,3618827850,2.38469E+11,23728210
8110,대동전자,5890,2.26,66295,386162970,61788732830,10490447
5750,대림B&Co,6500,1.09,271765,1768578210,1.0837E+11,16672240
1880,대림건설,34900,0,77899,2712314700,7.6966E+11,22053284
6570,대림통상,4070,0.37,5569,22704670,61965750000,15225000
1680,대상,25150,1,103872,2601993750,8.71398E+11,34648025
1685,대상우,17150,0.29,2007,34463800,23499324450,1370223
84690,대상홀딩스,10800,7.46,583121,6060492480,3.91095E+11,36212538
