,종목코드,PER,PBR,EPS,BPS,DIV,DPS
129,001515,0.0,0.0,0,0,0.3,15
130,285130,312.34,4.62,802,54214,0.18,450
131,28513K,0.0,0.0,0,0,0.43,500
132,017670,22.64,0.97,12144,284310,3.64,10000
133,000660,45.02,2.01,2943,65836,0.75,1000
134,064960,343.09,1.23,181,50329,2.25,1400
135,100840,8.24,0.54,2148,32631,4.52,800
136,003570,12.06,0.4,622,18558,4.0,300
137,036530,4.56,0.39,4072,46992,2.7,500
138,005610,29.09,1.94,2492,37411,1.52,1104
139,011810,0.0,2.11,0,2864,0.0,0
140,077970,10.83,0.93,737,8586,0.0,0
141,071970,0.0,0.9,0,4813,0.0,0
142,084870,0.0,0.37,0,5163,0.0,0
143,002710,20.04,0.91,225,4962,0.67,30
144,024070,52.79,0.48,70,7697,1.35,50
145,037270,0.0,3.55,0,1562,0.0,0
146,000500,21.6,0.49,1391,61708,2.0,600
147,000860,13.49,0.37,2250,81019,1.65,500
148,035250,15.32,1.46,1651,17377,3.56,900
149,011420,0.0,2.26,0,791,0.0,0
150,002100,53.54,1.6,254,8484,1.62,220
151,009450,23.06,2.16,2207,23612,0.59,300
152,267290,4.72,0.34,4167,57537,4.45,875
153,012320,10.13,0.24,4007,171962,1.23,500
154,000050,8.1,0.49,1630,27050,0.95,125
155,214390,54.98,1.95,221,6239,0.82,100
156,012610,19.42,1.25,344,5357,0.75,50
157,009140,162.64,0.85,182,34673,0.84,250
158,013580,3.79,0.62,8363,50766,1.89,600
159,012200,1081.25,0.8,4,5425,0.81,35
160,012205,0.0,0.0,0,0,0.58,40
161,002140,23.35,1.11,182,3842,0.71,30
162,010130,11.41,1.15,35811,355878,3.43,14000
163,002240,49.54,0.36,434,59916,1.63,350
164,009290,14.73,1.06,582,8069,0.93,80
165,017040,13.0,1.07,185,2255,0.62,15
166,017900,35.98,0.62,66,3805,2.11,50
167,037710,5.66,0.41,29953,413244,2.06,3500
168,030610,3.3,0.3,2391,26692,5.07,400
169,339770,12.79,4.71,1411,3835,0.53,96
170,007690,11.08,0.77,6219,88911,2.18,1500
171,005320,0.0,1.74,0,2337,0.0,0
172,001140,0.0,1.67,0,1333,0.0,0
173,002720,0.0,2.39,0,3163,0.0,0
174,083420,59.11,3.09,236,4521,1.22,170
175,014530,14.43,1.26,422,4825,2.63,160
176,014280,0.0,0.57,0,10865,1.3,80
177,014285,0.0,0.0,0,0,0.75,90
178,008870,8.37,0.65,8088,103528,2.51,1700
179,001570,0.0,2.8,0,1535,0.0,0
180,002990,29.58,0.95,332,10364,5.09,500
181,002995,0.0,0.0,0,0,1.74,550
182,011780,25.12,3.38,10549,78488,0.57,1500
183,011785,0.0,0.0,0,0,1.34,1550
184,214330,0.0,0.92,0,2439,0.0,0
185,001210,0.0,0.85,0,3098,0.0,0
186,073240,0.0,0.87,0,4383,0.0,0
187,092440,20.1,0.74,298,8125,2.5,150
188,000270,18.2,1.16,4556,71487,1.39,1150
189,024110,4.09,0.27,2242,33567,7.31,670
190,013700,7.2,1.4,305,1571,1.37,30
191,004540,0.0,1.82,0,4260,0.0,0
192,004545,0.0,0.0,0,0,0.0,0
193,001260,35.28,2.58,394,5379,0.0,0
194,008350,30.0,2.42,131,1621,0.0,0
195,008355,0.0,0.0,0,0,0.0,0
196,004270,0.0,1.67,0,2379,0.63,25
197,003920,8.78,0.29,34527,1028846,0.33,1000
198,003925,0.0,0.0,0,0,0.61,1050
199,025860,26.87,1.03,335,8735,0.67,60
200,005720,4.46,0.26,1055,18028,1.7,80
201,005725,0.0,0.0,0,0,2.85,85
202,002350,6.59,0.51,1153,14921,1.38,105
203,002355,0.0,0.0,0,0,3.72,110
